,Name,ideology,Amt
133, Michael F Bennet (D) ,Health,29500
134, Maria Cantwell (D) ,Health,2500
135, Mike Enzi (R) ,Health,27000
136, Patrick Leahy (D) ,Health,4500
137, James E Risch (R) ,Health,4500
138, Tom Udall (D) ,Health,2500
139, Richard Blumenthal (D) ,Health,14500
140, Charles E Schumer (D) ,Health,11500
141, Richard Burr (R) ,Health,24000
142, Jeff Merkley (D) ,Health,4000
143, Kamala D Harris (D) ,Health,-6000
144, Richard C Shelby (R) ,Health,2500
145, Chris Van Hollen (D) ,Health,6500
146, Ted Cruz (R) ,Health,45500
147, Tina Smith (D) ,Health,53500
148, Jeff Flake (R) ,Health,60000
149, Kirsten Gillibrand (D) ,Health,39250
150, John Cornyn (R) ,Health,109309
151, Mitch McConnell (R) ,Health,75613
152, Thom Tillis (R) ,Health,90000
153, Pat Toomey (R) ,Health,73000
154, Bill Cassidy (R) ,Health,212700
155, Mark Warner (D) ,Health,45000
156, Tim Scott (R) ,Health,87500
157, Rob Portman (R) ,Health,103900
158, John Thune (R) ,Health,67500
159, Cory Gardner (R) ,Health,75500
160, David Perdue (R) ,Health,51500
161, Susan Collins (R) ,Health,103500
162, Lisa Murkowski (R) ,Health,60000
163, John Kennedy (R) ,Health,33500
164, Pat Roberts (R) ,Health,44500
165, Shelley Moore Capito (R) ,Health,34500
166, Johnny Isakson (R) ,Health,123000
167, Ron Wyden (D) ,Health,107150
168, Sherrod Brown (D) ,Health,237200
169, Dianne Feinstein (D) ,Health,127500
170, Christopher S Murphy (D) ,Health,203750
171, Robert Menendez (D) ,Health,180500
172, Angus King (I) ,Health,61500
173, Mazie K Hirono (D) ,Health,43500
174, Sheldon Whitehouse (D) ,Health,65906
175, Mike Crapo (R) ,Health,118000
176, Cindy Hyde-Smith (R) ,Health,29500
177, Claire McCaskill (D) ,Health,154700
178, Doug Jones (D) ,Health,31500
179, Joe Donnelly (D) ,Health,180500
180, Tammy Baldwin (D) ,Health,141800
181, Tim Kaine (D) ,Health,231950
182, Martin Heinrich (D) ,Health,212500
183, Tom Carper (D) ,Health,207910
184, Ben Cardin (D) ,Health,218000
185, Bob Casey (D) ,Health,416403
186, Roger Wicker (R) ,Health,148500
187, Deb Fischer (R) ,Health,93500
188, Amy Klobuchar (D) ,Health,78650
189, Jon Tester (D) ,Health,199750
190, Dean Heller (R) ,Health,413332
191, Debbie Stabenow (D) ,Health,328050
192, Joe Manchin (D) ,Health,80500
193, John A Barrasso (R) ,Health,390200
194, Heidi Heitkamp (D) ,Health,186000
195, Bill Nelson (D) ,Health,248199
196, Orrin G Hatch (R) ,Builders,59000
197, Todd Young (R) ,Builders,3500
198, Elizabeth Warren (D) ,Builders,22500
199, Bob Corker (R) ,Builders,8500
200, Gary Peters (D) ,Builders,14000
201, Ron Johnson (R) ,Builders,-500
202, Lindsey Graham (R) ,Builders,12000
203, James M Inhofe (R) ,Builders,15000
204, Patty Murray (D) ,Builders,19500
205, Marco Rubio (R) ,Builders,12500
206, Ben Sasse (R) ,Builders,3000
207, Tom Cotton (R) ,Builders,1000
208, Ed Markey (D) ,Builders,2000
209, Mike Rounds (R) ,Builders,0
210, Brian Schatz (D) ,Builders,4000
211, Steven Daines (R) ,Builders,17500
212, Tammy Duckworth (D) ,Builders,12500
213, Dan Sullivan (R) ,Builders,2000
214, Catherine Cortez Masto (D) ,Builders,17321
215, Jeanne Shaheen (D) ,Builders,11000
216, Joni Ernst (R) ,Builders,9000
217, Jerry Moran (R) ,Builders,0
218, James Lankford (R) ,Builders,500
219, Lamar Alexander (R) ,Builders,0
220, Dick Durbin (D) ,Builders,18500
221, John Hoeven (R) ,Builders,2000
222, Cory Booker (D) ,Builders,6500
223, Chris Coons (D) ,Builders,1000
224, John Boozman (R) ,Builders,0
225, Jack Reed (D) ,Builders,24000
226, Chuck Grassley (R) ,Builders,0
227, Rand Paul (R) ,Builders,2500
228, Mike Lee (R) ,Builders,-5000
229, Maggie Hassan (D) ,Builders,24236
230, Bernie Sanders (I) ,Builders,15600
231, Michael F Bennet (D) ,Builders,12500
232, Maria Cantwell (D) ,Builders,-1000
233, Mike Enzi (R) ,Builders,0
234, Patrick Leahy (D) ,Builders,0
235, James E Risch (R) ,Builders,1000
236, Tom Udall (D) ,Builders,5000
237, Richard Blumenthal (D) ,Builders,0
238, Charles E Schumer (D) ,Builders,5000
239, Richard Burr (R) ,Builders,0
240, Jeff Merkley (D) ,Builders,2200
241, Kamala D Harris (D) ,Builders,-5000
242, Richard C Shelby (R) ,Builders,0
243, Chris Van Hollen (D) ,Builders,1000
244, Ted Cruz (R) ,Builders,30500
245, Tina Smith (D) ,Builders,49000
246, Jeff Flake (R) ,Builders,11900
247, Kirsten Gillibrand (D) ,Builders,24500
248, John Cornyn (R) ,Builders,48000
249, Mitch McConnell (R) ,Builders,23500
250, Thom Tillis (R) ,Builders,9750
251, Pat Toomey (R) ,Builders,18500
252, Bill Cassidy (R) ,Builders,4500
253, Mark Warner (D) ,Builders,10000
254, Tim Scott (R) ,Builders,19000
