,Name,ideology,Amt
666, Cindy Hyde-Smith (R) ,MFG,10000
667, Claire McCaskill (D) ,MFG,34500
668, Doug Jones (D) ,MFG,0
669, Joe Donnelly (D) ,MFG,49500
670, Tammy Baldwin (D) ,MFG,41900
671, Tim Kaine (D) ,MFG,16500
672, Martin Heinrich (D) ,MFG,18000
673, Tom Carper (D) ,MFG,71210
674, Ben Cardin (D) ,MFG,21500
675, Bob Casey (D) ,MFG,67500
676, Roger Wicker (R) ,MFG,29000
677, Deb Fischer (R) ,MFG,46500
678, Amy Klobuchar (D) ,MFG,21000
679, Jon Tester (D) ,MFG,12000
680, Dean Heller (R) ,MFG,623539
681, Debbie Stabenow (D) ,MFG,613900
682, Joe Manchin (D) ,MFG,254500
683, John A Barrasso (R) ,MFG,270904
684, Heidi Heitkamp (D) ,MFG,200300
685, Bill Nelson (D) ,MFG,25500
686, Orrin G Hatch (R) ,Govt/NGO,0
687, Todd Young (R) ,Govt/NGO,4000
688, Elizabeth Warren (D) ,Govt/NGO,0
689, Bob Corker (R) ,Govt/NGO,0
690, Gary Peters (D) ,Govt/NGO,0
691, Ron Johnson (R) ,Govt/NGO,0
692, Lindsey Graham (R) ,Govt/NGO,0
693, James M Inhofe (R) ,Govt/NGO,0
694, Patty Murray (D) ,Govt/NGO,3000
695, Marco Rubio (R) ,Govt/NGO,0
696, Ben Sasse (R) ,Govt/NGO,0
697, Tom Cotton (R) ,Govt/NGO,0
698, Ed Markey (D) ,Govt/NGO,0
699, Mike Rounds (R) ,Govt/NGO,0
700, Brian Schatz (D) ,Govt/NGO,0
701, Steven Daines (R) ,Govt/NGO,0
702, Tammy Duckworth (D) ,Govt/NGO,0
703, Dan Sullivan (R) ,Govt/NGO,0
704, Catherine Cortez Masto (D) ,Govt/NGO,0
705, Jeanne Shaheen (D) ,Govt/NGO,0
706, Joni Ernst (R) ,Govt/NGO,0
707, Jerry Moran (R) ,Govt/NGO,1000
708, James Lankford (R) ,Govt/NGO,1000
709, Lamar Alexander (R) ,Govt/NGO,3000
710, Dick Durbin (D) ,Govt/NGO,0
711, John Hoeven (R) ,Govt/NGO,1000
712, Cory Booker (D) ,Govt/NGO,0
713, Chris Coons (D) ,Govt/NGO,0
714, John Boozman (R) ,Govt/NGO,0
715, Jack Reed (D) ,Govt/NGO,0
716, Chuck Grassley (R) ,Govt/NGO,0
717, Rand Paul (R) ,Govt/NGO,0
718, Mike Lee (R) ,Govt/NGO,0
719, Maggie Hassan (D) ,Govt/NGO,0
720, Bernie Sanders (I) ,Govt/NGO,0
721, Michael F Bennet (D) ,Govt/NGO,2000
722, Maria Cantwell (D) ,Govt/NGO,0
723, Mike Enzi (R) ,Govt/NGO,0
724, Patrick Leahy (D) ,Govt/NGO,0
725, James E Risch (R) ,Govt/NGO,0
726, Tom Udall (D) ,Govt/NGO,0
727, Richard Blumenthal (D) ,Govt/NGO,1000
728, Charles E Schumer (D) ,Govt/NGO,1000
729, Richard Burr (R) ,Govt/NGO,2500
730, Jeff Merkley (D) ,Govt/NGO,0
731, Kamala D Harris (D) ,Govt/NGO,0
732, Richard C Shelby (R) ,Govt/NGO,0
733, Chris Van Hollen (D) ,Govt/NGO,1000
734, Ted Cruz (R) ,Govt/NGO,0
735, Tina Smith (D) ,Govt/NGO,0
736, Jeff Flake (R) ,Govt/NGO,0
737, Kirsten Gillibrand (D) ,Govt/NGO,0
738, John Cornyn (R) ,Govt/NGO,1000
739, Mitch McConnell (R) ,Govt/NGO,0
740, Thom Tillis (R) ,Govt/NGO,1000
741, Pat Toomey (R) ,Govt/NGO,0
742, Bill Cassidy (R) ,Govt/NGO,1000
743, Mark Warner (D) ,Govt/NGO,1000
744, Tim Scott (R) ,Govt/NGO,1000
745, Rob Portman (R) ,Govt/NGO,0
746, John Thune (R) ,Govt/NGO,1000
747, Cory Gardner (R) ,Govt/NGO,0
748, David Perdue (R) ,Govt/NGO,1000
749, Susan Collins (R) ,Govt/NGO,1000
750, Lisa Murkowski (R) ,Govt/NGO,0
751, John Kennedy (R) ,Govt/NGO,1000
752, Pat Roberts (R) ,Govt/NGO,1000
753, Shelley Moore Capito (R) ,Govt/NGO,1000
754, Johnny Isakson (R) ,Govt/NGO,0
755, Ron Wyden (D) ,Govt/NGO,0
756, Sherrod Brown (D) ,Govt/NGO,1000
757, Dianne Feinstein (D) ,Govt/NGO,0
758, Christopher S Murphy (D) ,Govt/NGO,0
759, Robert Menendez (D) ,Govt/NGO,0
760, Angus King (I) ,Govt/NGO,0
761, Mazie K Hirono (D) ,Govt/NGO,0
762, Sheldon Whitehouse (D) ,Govt/NGO,0
763, Mike Crapo (R) ,Govt/NGO,0
764, Cindy Hyde-Smith (R) ,Govt/NGO,0
765, Claire McCaskill (D) ,Govt/NGO,5000
766, Doug Jones (D) ,Govt/NGO,1000
767, Joe Donnelly (D) ,Govt/NGO,0
768, Tammy Baldwin (D) ,Govt/NGO,2000
769, Tim Kaine (D) ,Govt/NGO,6000
770, Martin Heinrich (D) ,Govt/NGO,3500
771, Tom Carper (D) ,Govt/NGO,9000
772, Ben Cardin (D) ,Govt/NGO,8000
773, Bob Casey (D) ,Govt/NGO,2000
774, Roger Wicker (R) ,Govt/NGO,6000
775, Deb Fischer (R) ,Govt/NGO,3000
776, Amy Klobuchar (D) ,Govt/NGO,0
777, Jon Tester (D) ,Govt/NGO,0
778, Dean Heller (R) ,Govt/NGO,10000
779, Debbie Stabenow (D) ,Govt/NGO,8000
780, Joe Manchin (D) ,Govt/NGO,0
781, John A Barrasso (R) ,Govt/NGO,0
782, Heidi Heitkamp (D) ,Govt/NGO,3500
783, Bill Nelson (D) ,Govt/NGO,2000
784, Orrin G Hatch (R) ,Agriculture,18000
785, Todd Young (R) ,Agriculture,8250
786, Elizabeth Warren (D) ,Agriculture,0
787, Bob Corker (R) ,Agriculture,0
788, Gary Peters (D) ,Agriculture,10000
789, Ron Johnson (R) ,Agriculture,17500
790, Lindsey Graham (R) ,Agriculture,23700
791, James M Inhofe (R) ,Agriculture,11000
792, Patty Murray (D) ,Agriculture,6000
793, Marco Rubio (R) ,Agriculture,19500
794, Ben Sasse (R) ,Agriculture,6000
795, Tom Cotton (R) ,Agriculture,4000
796, Ed Markey (D) ,Agriculture,5000
797, Mike Rounds (R) ,Agriculture,13500
798, Brian Schatz (D) ,Agriculture,0
799, Steven Daines (R) ,Agriculture,22000
800, Tammy Duckworth (D) ,Agriculture,18500
801, Dan Sullivan (R) ,Agriculture,1000
802, Catherine Cortez Masto (D) ,Agriculture,15000
803, Jeanne Shaheen (D) ,Agriculture,5500
804, Joni Ernst (R) ,Agriculture,16000
805, Jerry Moran (R) ,Agriculture,19250
806, James Lankford (R) ,Agriculture,1000
807, Lamar Alexander (R) ,Agriculture,6500
808, Dick Durbin (D) ,Agriculture,0
809, John Hoeven (R) ,Agriculture,46500
810, Cory Booker (D) ,Agriculture,0
811, Chris Coons (D) ,Agriculture,6000
812, John Boozman (R) ,Agriculture,56250
813, Jack Reed (D) ,Agriculture,0
814, Chuck Grassley (R) ,Agriculture,8000
815, Rand Paul (R) ,Agriculture,1000
816, Mike Lee (R) ,Agriculture,2000
817, Maggie Hassan (D) ,Agriculture,4500
818, Bernie Sanders (I) ,Agriculture,0
819, Michael F Bennet (D) ,Agriculture,2000
820, Maria Cantwell (D) ,Agriculture,5000
821, Mike Enzi (R) ,Agriculture,3500
822, Patrick Leahy (D) ,Agriculture,8600
823, James E Risch (R) ,Agriculture,1500
824, Tom Udall (D) ,Agriculture,1000
825, Richard Blumenthal (D) ,Agriculture,0
826, Charles E Schumer (D) ,Agriculture,8000
827, Richard Burr (R) ,Agriculture,0
828, Jeff Merkley (D) ,Agriculture,7500
829, Kamala D Harris (D) ,Agriculture,6000
830, Richard C Shelby (R) ,Agriculture,3500
831, Chris Van Hollen (D) ,Agriculture,0
832, Ted Cruz (R) ,Agriculture,23327
833, Tina Smith (D) ,Agriculture,86500
834, Jeff Flake (R) ,Agriculture,11000
835, Kirsten Gillibrand (D) ,Agriculture,20000
836, John Cornyn (R) ,Agriculture,25000
837, Mitch McConnell (R) ,Agriculture,32000
838, Thom Tillis (R) ,Agriculture,34000
839, Pat Toomey (R) ,Agriculture,9000
840, Bill Cassidy (R) ,Agriculture,29000
841, Mark Warner (D) ,Agriculture,30500
842, Tim Scott (R) ,Agriculture,15000
843, Rob Portman (R) ,Agriculture,5000
844, John Thune (R) ,Agriculture,35000
845, Cory Gardner (R) ,Agriculture,25500
846, David Perdue (R) ,Agriculture,51000
847, Susan Collins (R) ,Agriculture,13000
848, Lisa Murkowski (R) ,Agriculture,0
849, John Kennedy (R) ,Agriculture,50173
850, Pat Roberts (R) ,Agriculture,124500
851, Shelley Moore Capito (R) ,Agriculture,7000
852, Johnny Isakson (R) ,Agriculture,15000
853, Ron Wyden (D) ,Agriculture,4000
854, Sherrod Brown (D) ,Agriculture,40500
855, Dianne Feinstein (D) ,Agriculture,110950
856, Christopher S Murphy (D) ,Agriculture,7000
857, Robert Menendez (D) ,Agriculture,7000
858, Angus King (I) ,Agriculture,72500
859, Mazie K Hirono (D) ,Agriculture,22000
860, Sheldon Whitehouse (D) ,Agriculture,700
861, Mike Crapo (R) ,Agriculture,16000
862, Cindy Hyde-Smith (R) ,Agriculture,140000
863, Claire McCaskill (D) ,Agriculture,42500
864, Doug Jones (D) ,Agriculture,36500
865, Joe Donnelly (D) ,Agriculture,140100
866, Tammy Baldwin (D) ,Agriculture,60000
867, Tim Kaine (D) ,Agriculture,34000
868, Martin Heinrich (D) ,Agriculture,24000
869, Tom Carper (D) ,Agriculture,29000
870, Ben Cardin (D) ,Agriculture,22500
871, Bob Casey (D) ,Agriculture,115750
872, Roger Wicker (R) ,Agriculture,129500
873, Deb Fischer (R) ,Agriculture,175750
874, Amy Klobuchar (D) ,Agriculture,177000
875, Jon Tester (D) ,Agriculture,68500
876, Dean Heller (R) ,Agriculture,49000
877, Debbie Stabenow (D) ,Agriculture,318103
878, Joe Manchin (D) ,Agriculture,41642
879, John A Barrasso (R) ,Agriculture,107500
880, Heidi Heitkamp (D) ,Agriculture,212500
881, Bill Nelson (D) ,Agriculture,49000
882, Orrin G Hatch (R) ,Comms,137100
883, Todd Young (R) ,Comms,19000
884, Elizabeth Warren (D) ,Comms,-10000
885, Bob Corker (R) ,Comms,32000
886, Gary Peters (D) ,Comms,27500
887, Ron Johnson (R) ,Comms,50000
888, Lindsey Graham (R) ,Comms,12500
889, James M Inhofe (R) ,Comms,26500
890, Patty Murray (D) ,Comms,7000
891, Marco Rubio (R) ,Comms,18000
892, Ben Sasse (R) ,Comms,27200
893, Tom Cotton (R) ,Comms,38180
894, Ed Markey (D) ,Comms,57700
895, Mike Rounds (R) ,Comms,16500
896, Brian Schatz (D) ,Comms,45000
897, Steven Daines (R) ,Comms,33000
898, Tammy Duckworth (D) ,Comms,22000
899, Dan Sullivan (R) ,Comms,28000
900, Catherine Cortez Masto (D) ,Comms,29500
901, Jeanne Shaheen (D) ,Comms,12750
902, Joni Ernst (R) ,Comms,11500
903, Jerry Moran (R) ,Comms,42200
904, James Lankford (R) ,Comms,27250
905, Lamar Alexander (R) ,Comms,8500
906, Dick Durbin (D) ,Comms,3500
907, John Hoeven (R) ,Comms,8080
908, Cory Booker (D) ,Comms,49500
909, Chris Coons (D) ,Comms,27500
910, John Boozman (R) ,Comms,18000
911, Jack Reed (D) ,Comms,7500
912, Chuck Grassley (R) ,Comms,13500
913, Rand Paul (R) ,Comms,13000
914, Mike Lee (R) ,Comms,24000
915, Maggie Hassan (D) ,Comms,18250
916, Bernie Sanders (I) ,Comms,1500
917, Michael F Bennet (D) ,Comms,3000
918, Maria Cantwell (D) ,Comms,0
919, Mike Enzi (R) ,Comms,7000
920, Patrick Leahy (D) ,Comms,14500
921, James E Risch (R) ,Comms,11000
922, Tom Udall (D) ,Comms,16000
923, Richard Blumenthal (D) ,Comms,12500
924, Charles E Schumer (D) ,Comms,-2000
925, Richard Burr (R) ,Comms,-3000
926, Jeff Merkley (D) ,Comms,0
927, Kamala D Harris (D) ,Comms,5000
928, Richard C Shelby (R) ,Comms,0
929, Chris Van Hollen (D) ,Comms,-2000
930, Ted Cruz (R) ,Comms,92000
931, Tina Smith (D) ,Comms,31500
932, Jeff Flake (R) ,Comms,66750
933, Kirsten Gillibrand (D) ,Comms,32500
934, John Cornyn (R) ,Comms,51000
935, Mitch McConnell (R) ,Comms,35000
936, Thom Tillis (R) ,Comms,38500
937, Pat Toomey (R) ,Comms,28000
938, Bill Cassidy (R) ,Comms,23500
939, Mark Warner (D) ,Comms,44500
940, Tim Scott (R) ,Comms,11000
941, Rob Portman (R) ,Comms,23500
942, John Thune (R) ,Comms,71000
943, Cory Gardner (R) ,Comms,73500
944, David Perdue (R) ,Comms,21000
945, Susan Collins (R) ,Comms,15000
946, Lisa Murkowski (R) ,Comms,20000
947, John Kennedy (R) ,Comms,14000
948, Pat Roberts (R) ,Comms,18500
949, Shelley Moore Capito (R) ,Comms,45500
950, Johnny Isakson (R) ,Comms,25000
951, Ron Wyden (D) ,Comms,18600
952, Sherrod Brown (D) ,Comms,102613
953, Dianne Feinstein (D) ,Comms,132250
954, Christopher S Murphy (D) ,Comms,58322
955, Robert Menendez (D) ,Comms,63000
956, Angus King (I) ,Comms,102000
957, Mazie K Hirono (D) ,Comms,109000
958, Sheldon Whitehouse (D) ,Comms,94500
959, Mike Crapo (R) ,Comms,30900
960, Cindy Hyde-Smith (R) ,Comms,38200
961, Claire McCaskill (D) ,Comms,140250
962, Doug Jones (D) ,Comms,32500
963, Joe Donnelly (D) ,Comms,96999
964, Tammy Baldwin (D) ,Comms,74700
965, Tim Kaine (D) ,Comms,129500
966, Martin Heinrich (D) ,Comms,87700
967, Tom Carper (D) ,Comms,67000
968, Ben Cardin (D) ,Comms,50500
969, Bob Casey (D) ,Comms,146800
970, Roger Wicker (R) ,Comms,219400
971, Deb Fischer (R) ,Comms,130050
972, Amy Klobuchar (D) ,Comms,124350
973, Jon Tester (D) ,Comms,145750
974, Dean Heller (R) ,Comms,186500
975, Debbie Stabenow (D) ,Comms,139200
976, Joe Manchin (D) ,Comms,140377
977, John A Barrasso (R) ,Comms,113500
978, Heidi Heitkamp (D) ,Comms,125250
979, Bill Nelson (D) ,Comms,168475
980, Orrin G Hatch (R) ,Defense,19625
981, Todd Young (R) ,Defense,1000
982, Elizabeth Warren (D) ,Defense,1280
983, Bob Corker (R) ,Defense,32125
984, Gary Peters (D) ,Defense,14000
985, Ron Johnson (R) ,Defense,3000
986, Lindsey Graham (R) ,Defense,44000
987, James M Inhofe (R) ,Defense,60500
988, Patty Murray (D) ,Defense,0
989, Marco Rubio (R) ,Defense,35500
990, Ben Sasse (R) ,Defense,10500
991, Tom Cotton (R) ,Defense,15500
992, Ed Markey (D) ,Defense,0
993, Mike Rounds (R) ,Defense,11500
994, Brian Schatz (D) ,Defense,22500
995, Steven Daines (R) ,Defense,22000
996, Tammy Duckworth (D) ,Defense,6000
997, Dan Sullivan (R) ,Defense,47000
998, Catherine Cortez Masto (D) ,Defense,0
999, Jeanne Shaheen (D) ,Defense,71500
1000, Joni Ernst (R) ,Defense,24000
1001, Jerry Moran (R) ,Defense,20500
1002, James Lankford (R) ,Defense,11000
1003, Lamar Alexander (R) ,Defense,8000
1004, Dick Durbin (D) ,Defense,21000
1005, John Hoeven (R) ,Defense,15000
1006, Cory Booker (D) ,Defense,0
1007, Chris Coons (D) ,Defense,2000
1008, John Boozman (R) ,Defense,16500
1009, Jack Reed (D) ,Defense,47000
1010, Chuck Grassley (R) ,Defense,0
1011, Rand Paul (R) ,Defense,0
1012, Mike Lee (R) ,Defense,1000
1013, Maggie Hassan (D) ,Defense,4000
1014, Bernie Sanders (I) ,Defense,0
1015, Michael F Bennet (D) ,Defense,6000
1016, Maria Cantwell (D) ,Defense,1000
1017, Mike Enzi (R) ,Defense,5000
1018, Patrick Leahy (D) ,Defense,7000
1019, James E Risch (R) ,Defense,0
1020, Tom Udall (D) ,Defense,0
1021, Richard Blumenthal (D) ,Defense,4500
1022, Charles E Schumer (D) ,Defense,0
1023, Richard Burr (R) ,Defense,4000
1024, Jeff Merkley (D) ,Defense,0
1025, Kamala D Harris (D) ,Defense,0
1026, Richard C Shelby (R) ,Defense,5000
1027, Chris Van Hollen (D) ,Defense,1000
1028, Ted Cruz (R) ,Defense,35000
1029, Tina Smith (D) ,Defense,13500
1030, Jeff Flake (R) ,Defense,19000
1031, Kirsten Gillibrand (D) ,Defense,21500
1032, John Cornyn (R) ,Defense,10000
1033, Mitch McConnell (R) ,Defense,38000
1034, Thom Tillis (R) ,Defense,25500
1035, Pat Toomey (R) ,Defense,9500
1036, Bill Cassidy (R) ,Defense,4500
1037, Mark Warner (D) ,Defense,33000
1038, Tim Scott (R) ,Defense,19500
1039, Rob Portman (R) ,Defense,11500
1040, John Thune (R) ,Defense,4000
1041, Cory Gardner (R) ,Defense,4000
1042, David Perdue (R) ,Defense,32900
1043, Susan Collins (R) ,Defense,16000
1044, Lisa Murkowski (R) ,Defense,18000
1045, John Kennedy (R) ,Defense,6500
1046, Pat Roberts (R) ,Defense,0
1047, Shelley Moore Capito (R) ,Defense,18500
1048, Johnny Isakson (R) ,Defense,10000
1049, Ron Wyden (D) ,Defense,1000
1050, Sherrod Brown (D) ,Defense,28390
1051, Dianne Feinstein (D) ,Defense,57500
1052, Christopher S Murphy (D) ,Defense,51000
1053, Robert Menendez (D) ,Defense,22000
1054, Angus King (I) ,Defense,84000
1055, Mazie K Hirono (D) ,Defense,53500
1056, Sheldon Whitehouse (D) ,Defense,12500
1057, Mike Crapo (R) ,Defense,7000
1058, Cindy Hyde-Smith (R) ,Defense,31500
1059, Claire McCaskill (D) ,Defense,54000
1060, Doug Jones (D) ,Defense,9500
1061, Joe Donnelly (D) ,Defense,92000
1062, Tammy Baldwin (D) ,Defense,30500
1063, Tim Kaine (D) ,Defense,145188
1064, Martin Heinrich (D) ,Defense,118000
1065, Tom Carper (D) ,Defense,22000
1066, Ben Cardin (D) ,Defense,66950
1067, Bob Casey (D) ,Defense,47500
1068, Roger Wicker (R) ,Defense,116625
1069, Deb Fischer (R) ,Defense,67000
1070, Amy Klobuchar (D) ,Defense,2000
1071, Jon Tester (D) ,Defense,436822
1072, Dean Heller (R) ,Defense,10500
1073, Debbie Stabenow (D) ,Defense,33000
1074, Joe Manchin (D) ,Defense,99000
1075, John A Barrasso (R) ,Defense,47000
1076, Heidi Heitkamp (D) ,Defense,34000
1077, Bill Nelson (D) ,Defense,98500
1078, Orrin G Hatch (R) ,Energy,139500
1079, Todd Young (R) ,Energy,11000
1080, Elizabeth Warren (D) ,Energy,6031
1081, Bob Corker (R) ,Energy,39500
1082, Gary Peters (D) ,Energy,11000
1083, Ron Johnson (R) ,Energy,8500
1084, Lindsey Graham (R) ,Energy,28000
1085, James M Inhofe (R) ,Energy,64189
1086, Patty Murray (D) ,Energy,9900
1087, Marco Rubio (R) ,Energy,28500
1088, Ben Sasse (R) ,Energy,15000
1089, Tom Cotton (R) ,Energy,14500
1090, Ed Markey (D) ,Energy,10000
1091, Mike Rounds (R) ,Energy,19500
1092, Brian Schatz (D) ,Energy,13000
1093, Steven Daines (R) ,Energy,32000
1094, Tammy Duckworth (D) ,Energy,8000
1095, Dan Sullivan (R) ,Energy,45900
1096, Catherine Cortez Masto (D) ,Energy,10500
1097, Jeanne Shaheen (D) ,Energy,13750
1098, Joni Ernst (R) ,Energy,34500
1099, Jerry Moran (R) ,Energy,11500
1100, James Lankford (R) ,Energy,38000
1101, Lamar Alexander (R) ,Energy,5000
1102, Dick Durbin (D) ,Energy,2750
1103, John Hoeven (R) ,Energy,29750
1104, Cory Booker (D) ,Energy,6500
1105, Chris Coons (D) ,Energy,2500
1106, John Boozman (R) ,Energy,0
1107, Jack Reed (D) ,Energy,5000
1108, Chuck Grassley (R) ,Energy,27000
1109, Rand Paul (R) ,Energy,3500
1110, Mike Lee (R) ,Energy,3000
1111, Maggie Hassan (D) ,Energy,500
1112, Bernie Sanders (I) ,Energy,10
1113, Michael F Bennet (D) ,Energy,7500
1114, Maria Cantwell (D) ,Energy,-990
1115, Mike Enzi (R) ,Energy,5000
1116, Patrick Leahy (D) ,Energy,5000
1117, James E Risch (R) ,Energy,-1000
1118, Tom Udall (D) ,Energy,8500
1119, Richard Blumenthal (D) ,Energy,500
1120, Charles E Schumer (D) ,Energy,-1000
1121, Richard Burr (R) ,Energy,-500
1122, Jeff Merkley (D) ,Energy,9500
1123, Kamala D Harris (D) ,Energy,5000
1124, Richard C Shelby (R) ,Energy,0
1125, Chris Van Hollen (D) ,Energy,0
1126, Ted Cruz (R) ,Energy,91500
1127, Tina Smith (D) ,Energy,44531
1128, Jeff Flake (R) ,Energy,155550
1129, Kirsten Gillibrand (D) ,Energy,21510
1130, John Cornyn (R) ,Energy,69900
1131, Mitch McConnell (R) ,Energy,38500
1132, Thom Tillis (R) ,Energy,33500
1133, Pat Toomey (R) ,Energy,44500
1134, Bill Cassidy (R) ,Energy,60500
1135, Mark Warner (D) ,Energy,41500
1136, Tim Scott (R) ,Energy,49200
1137, Rob Portman (R) ,Energy,63500
1138, John Thune (R) ,Energy,50200
1139, Cory Gardner (R) ,Energy,79000
1140, David Perdue (R) ,Energy,17500
1141, Susan Collins (R) ,Energy,5500
1142, Lisa Murkowski (R) ,Energy,130450
1143, John Kennedy (R) ,Energy,36500
1144, Pat Roberts (R) ,Energy,20000
1145, Shelley Moore Capito (R) ,Energy,20000
1146, Johnny Isakson (R) ,Energy,500
1147, Ron Wyden (D) ,Energy,16500
1148, Sherrod Brown (D) ,Energy,84953
1149, Dianne Feinstein (D) ,Energy,48400
1150, Christopher S Murphy (D) ,Energy,49110
1151, Robert Menendez (D) ,Energy,34895
1152, Angus King (I) ,Energy,70033
1153, Mazie K Hirono (D) ,Energy,39209
1154, Sheldon Whitehouse (D) ,Energy,57751
1155, Mike Crapo (R) ,Energy,23500
1156, Cindy Hyde-Smith (R) ,Energy,70000
1157, Claire McCaskill (D) ,Energy,72500
1158, Doug Jones (D) ,Energy,27999
1159, Joe Donnelly (D) ,Energy,120750
1160, Tammy Baldwin (D) ,Energy,66467
1161, Tim Kaine (D) ,Energy,87419
1162, Martin Heinrich (D) ,Energy,152630
1163, Tom Carper (D) ,Energy,130000
1164, Ben Cardin (D) ,Energy,46793
1165, Bob Casey (D) ,Energy,76651
1166, Roger Wicker (R) ,Energy,174200
1167, Deb Fischer (R) ,Energy,138500
1168, Amy Klobuchar (D) ,Energy,55250
1169, Jon Tester (D) ,Energy,51532
1170, Dean Heller (R) ,Energy,384837
1171, Debbie Stabenow (D) ,Energy,146543
1172, Joe Manchin (D) ,Energy,525158
1173, John A Barrasso (R) ,Energy,450400
1174, Heidi Heitkamp (D) ,Energy,250050
1175, Bill Nelson (D) ,Energy,48675
1176, Orrin G Hatch (R) ,General,149200
1177, Todd Young (R) ,General,17500
1178, Elizabeth Warren (D) ,General,17500
1179, Bob Corker (R) ,General,29000
1180, Gary Peters (D) ,General,18557
1181, Ron Johnson (R) ,General,33000
1182, Lindsey Graham (R) ,General,22500
1183, James M Inhofe (R) ,General,0
1184, Patty Murray (D) ,General,6000
1185, Marco Rubio (R) ,General,23500
1186, Ben Sasse (R) ,General,15500
1187, Tom Cotton (R) ,General,23500
1188, Ed Markey (D) ,General,3700
1189, Mike Rounds (R) ,General,5500
1190, Brian Schatz (D) ,General,14500
1191, Steven Daines (R) ,General,19696
1192, Tammy Duckworth (D) ,General,12500
1193, Dan Sullivan (R) ,General,5700
1194, Catherine Cortez Masto (D) ,General,11000
1195, Jeanne Shaheen (D) ,General,6500
1196, Joni Ernst (R) ,General,10500
1197, Jerry Moran (R) ,General,14500
1198, James Lankford (R) ,General,11500
1199, Lamar Alexander (R) ,General,9500
1200, Dick Durbin (D) ,General,11000
1201, John Hoeven (R) ,General,9000
1202, Cory Booker (D) ,General,6250
1203, Chris Coons (D) ,General,7000
1204, John Boozman (R) ,General,10500
1205, Jack Reed (D) ,General,0
1206, Chuck Grassley (R) ,General,9500
1207, Rand Paul (R) ,General,9100
1208, Mike Lee (R) ,General,19000
1209, Maggie Hassan (D) ,General,2556
1210, Bernie Sanders (I) ,General,0
1211, Michael F Bennet (D) ,General,5500
1212, Maria Cantwell (D) ,General,12500
1213, Mike Enzi (R) ,General,7000
1214, Patrick Leahy (D) ,General,5000
1215, James E Risch (R) ,General,4821
1216, Tom Udall (D) ,General,5000
1217, Richard Blumenthal (D) ,General,1000
1218, Charles E Schumer (D) ,General,12500
1219, Richard Burr (R) ,General,7000
1220, Jeff Merkley (D) ,General,0
1221, Kamala D Harris (D) ,General,6480
1222, Richard C Shelby (R) ,General,5000
1223, Chris Van Hollen (D) ,General,0
1224, Ted Cruz (R) ,General,82000
1225, Tina Smith (D) ,General,57950
1226, Jeff Flake (R) ,General,90750
1227, Kirsten Gillibrand (D) ,General,55400
1228, John Cornyn (R) ,General,55000
1229, Mitch McConnell (R) ,General,71000
1230, Thom Tillis (R) ,General,54250
1231, Pat Toomey (R) ,General,33000
1232, Bill Cassidy (R) ,General,35200
1233, Mark Warner (D) ,General,18000
1234, Tim Scott (R) ,General,32750
1235, Rob Portman (R) ,General,35150
1236, John Thune (R) ,General,43000
1237, Cory Gardner (R) ,General,72250
1238, David Perdue (R) ,General,57000
1239, Susan Collins (R) ,General,13500
1240, Lisa Murkowski (R) ,General,19000
1241, John Kennedy (R) ,General,10700
1242, Pat Roberts (R) ,General,58500
1243, Shelley Moore Capito (R) ,General,19500
1244, Johnny Isakson (R) ,General,19000
1245, Ron Wyden (D) ,General,39500
1246, Sherrod Brown (D) ,General,159000
1247, Dianne Feinstein (D) ,General,97200
1248, Christopher S Murphy (D) ,General,31321
1249, Robert Menendez (D) ,General,38500
1250, Angus King (I) ,General,55000
1251, Mazie K Hirono (D) ,General,68500
1252, Sheldon Whitehouse (D) ,General,50500
1253, Mike Crapo (R) ,General,24148
1254, Cindy Hyde-Smith (R) ,General,718500
1255, Claire McCaskill (D) ,General,103500
1256, Doug Jones (D) ,General,21000
1257, Joe Donnelly (D) ,General,104200
1258, Tammy Baldwin (D) ,General,52500
1259, Tim Kaine (D) ,General,88855
1260, Martin Heinrich (D) ,General,73700
1261, Tom Carper (D) ,General,70500
1262, Ben Cardin (D) ,General,63750
1263, Bob Casey (D) ,General,151346
1264, Roger Wicker (R) ,General,95900
1265, Deb Fischer (R) ,General,157340
1266, Amy Klobuchar (D) ,General,120000
1267, Jon Tester (D) ,General,111850
1268, Dean Heller (R) ,General,234500
1269, Debbie Stabenow (D) ,General,186000
1270, Joe Manchin (D) ,General,74000
1271, John A Barrasso (R) ,General,135500
1272, Heidi Heitkamp (D) ,General,150250
1273, Bill Nelson (D) ,General,487900
1274, Orrin G Hatch (R) ,Transport,63600
1275, Todd Young (R) ,Transport,59000
1276, Elizabeth Warren (D) ,Transport,0
1277, Bob Corker (R) ,Transport,21000
1278, Gary Peters (D) ,Transport,28499
1279, Ron Johnson (R) ,Transport,61500
1280, Lindsey Graham (R) ,Transport,29800
1281, James M Inhofe (R) ,Transport,68000
1282, Patty Murray (D) ,Transport,10000
1283, Marco Rubio (R) ,Transport,35500
1284, Ben Sasse (R) ,Transport,12500
1285, Tom Cotton (R) ,Transport,14500
1286, Ed Markey (D) ,Transport,20000
1287, Mike Rounds (R) ,Transport,22500
1288, Brian Schatz (D) ,Transport,46200
1289, Steven Daines (R) ,Transport,22000
1290, Tammy Duckworth (D) ,Transport,18500
1291, Dan Sullivan (R) ,Transport,55000
1292, Catherine Cortez Masto (D) ,Transport,20000
1293, Jeanne Shaheen (D) ,Transport,18000
