Name,Party,Finance,Health,Builders,committees,Legal,Unions,Manufacturing,Govt/NGO,Pvt citizens,Agriculture,Comms,Defense,Energy,General,Transport,Policy
 Shelley Moore Capito (R) ,R,72500,34500,29500,0,16500,14500,21000,1000,0,7000,45500,18500,20000,19500,35000,4361
 John Kennedy (R) ,R,87200,33500,5000,16982,37594,7000,10000,1000,0,50173,14000,6500,36500,10700,38200,3861
 Lisa Murkowski (R) ,R,17000,60000,16500,0,29500,18000,12166,0,0,0,20000,18000,130450,19000,17500,7061
 Cindy Hyde-Smith (R) ,R,106089,29500,24500,7000,19558,4000,10000,0,0,140000,38200,31500,70000,718500,58000,215561
 Susan Collins (R) ,R,74500,103500,8250,2000,13000,11500,6000,1000,0,13000,15000,16000,5500,13500,45500,70991
 Roger Wicker (R) ,R,186161,148500,65750,64095,85500,27000,29000,6000,0,129500,219400,116625,174200,95900,212738,494831
 Deb Fischer (R) ,R,220630,93500,72200,36361,63623,44083,46500,3000,0,175750,130050,67000,138500,157340,180499,351436
 Dean Heller (R) ,R,748650,413332,106000,56376,78950,22000,623539,10000,0,49000,186500,10500,384837,234500,232625,2491987
 John A Barrasso (R) ,R,316500,390200,130000,8131,84000,5000,270904,0,0,107500,113500,47000,450400,135500,175470,316961
 Mike Crapo (R) ,R,503700,118000,37100,1000,19150,3500,18582,0,0,16000,30900,7000,23500,24148,28245,4361
 David Perdue (R) ,R,128250,51500,7500,3000,11000,4500,5000,1000,0,51000,21000,32900,17500,57000,29500,18761
 Orrin G Hatch (R) ,R,262550,284099,59000,92000,44880,7500,42075,0,1000,18000,137100,19625,139500,149200,63600,164561
 John Thune (R) ,R,82000,67500,16500,0,14000,12000,15000,1000,0,35000,71000,4000,50200,43000,86495,861
 James Lankford (R) ,R,50200,8500,500,0,8250,21000,10500,1000,0,1000,27250,11000,38000,11500,14500,4861
 Jerry Moran (R) ,R,30500,12500,0,0,6500,9000,11000,1000,0,19250,42200,20500,11500,14500,24500,7361
 Joni Ernst (R) ,R,42500,5000,9000,0,14000,2000,18000,0,0,16000,11500,24000,34500,10500,23000,5361
 Dan Sullivan (R) ,R,10500,6000,2000,3000,12152,11000,0,0,0,1000,28000,47000,45900,5700,55000,7111
 Steven Daines (R) ,R,39000,15500,17500,0,3500,5500,3500,0,0,22000,33000,22000,32000,19696,22000,9398
 Mike Rounds (R) ,R,117000,12000,0,1000,4500,6000,21348,0,0,13500,16500,11500,19500,5500,22500,611
 Lamar Alexander (R) ,R,29500,76200,0,2000,12000,2500,10500,3000,0,6500,8500,8000,5000,9500,9000,-1139
 Tom Cotton (R) ,R,103200,7000,1000,1000,13000,0,3500,0,0,4000,38180,15500,14500,23500,14500,13261
 Marco Rubio (R) ,R,40500,38250,12500,0,12500,14500,4000,0,0,19500,18000,35500,28500,23500,35500,4761
 James M Inhofe (R) ,R,16500,5500,15000,4000,10000,9500,17451,0,0,11000,26500,60500,64189,0,68000,4851
 Lindsey Graham (R) ,R,53500,24000,12000,200,23500,6200,9500,0,0,23700,12500,44000,28000,22500,29800,25761
 Ron Johnson (R) ,R,55000,14000,-500,2610,9000,21000,24500,0,0,17500,50000,3000,8500,33000,61500,20961
 Bob Corker (R) ,R,130200,35500,8500,35000,22000,3500,19500,0,0,0,32000,32125,39500,29000,21000,69608
 Todd Young (R) ,R,43500,46150,3500,0,9250,0,10500,4000,1250,8250,19000,1000,11000,17500,59000,13361
 Ben Sasse (R) ,R,127422,31500,3000,4000,7250,2000,1000,0,0,6000,27200,10500,15000,15500,12500,5861
 Cory Gardner (R) ,R,63000,75500,12500,0,10500,1000,11000,0,0,25500,73500,4000,79000,72250,34500,14571
 John Hoeven (R) ,R,11000,20500,2000,0,1000,3500,7750,1000,0,46500,8080,15000,29750,9000,1500,5398
 Chuck Grassley (R) ,R,30250,20000,0,3225,7500,1000,2000,0,0,8000,13500,0,27000,9500,4000,864
 Rob Portman (R) ,R,140000,103900,34000,1500,15250,6500,49666,0,0,5000,23500,11500,63500,35150,15700,18823
 Tim Scott (R) ,R,219200,87500,19000,1840,15250,5500,24000,1000,0,15000,11000,19500,49200,32750,26500,11861
 Bill Cassidy (R) ,R,80500,212700,4500,-1000,33000,1000,20500,1000,0,29000,23500,4500,60500,35200,51100,3861
 Pat Toomey (R) ,R,252000,73000,18500,0,33465,5500,34166,0,0,9000,28000,9500,44500,33000,14700,17187
 Thom Tillis (R) ,R,254650,90000,9750,2000,18250,1000,21000,1000,0,34000,38500,25500,33500,54250,15500,12861
 Mitch McConnell (R) ,R,207000,75613,23500,0,15500,8700,19200,0,0,32000,35000,38000,38500,71000,50000,28444
 John Boozman (R) ,R,23500,5500,0,0,3500,3500,5500,0,0,56250,18000,16500,0,10500,5500,861
 John Cornyn (R) ,R,143200,109309,48000,5000,21950,1000,41000,1000,0,25000,51000,10000,69900,55000,62000,5361
 Richard C Shelby (R) ,R,-6500,2500,0,0,5000,0,0,0,0,3500,0,5000,0,5000,5000,-1139
 Richard Burr (R) ,R,13000,24000,0,0,0,0,2500,2500,0,0,-3000,4000,-500,7000,2000,861
 James E Risch (R) ,R,22500,4500,1000,0,2000,0,6668,0,0,1500,11000,0,-1000,4821,10000,1861
 Mike Enzi (R) ,R,5500,27000,0,0,1000,0,11000,0,0,3500,7000,5000,5000,7000,2000,861
 Mike Lee (R) ,R,4500,17000,-5000,477,3500,2000,2300,0,0,2000,24000,1000,3000,19000,9500,26016
 Rand Paul (R) ,R,7500,7500,2500,64237,1000,0,0,0,0,1000,13000,0,3500,9100,-6500,12274
 Jeff Flake (R) ,R,145200,60000,11900,57400,50075,1000,17500,0,0,11000,66750,19000,155550,90750,60000,184080
 Ted Cruz (R) ,R,60500,45500,30500,126177,16500,6500,30000,0,0,23327,92000,35000,91500,82000,140998,395500
