Cand_ID,ideology,Amt
N00000699,F1420,2500
N00000699,F2000,2500
N00000699,F2100,8000
N00000699,F2200,4500
N00000699,F2300,14000
N00000699,F2500,6000
N00000699,F3100,4500
N00000699,F3200,10000
N00000699,F3300,31000
N00000699,F4100,20000
N00000699,F4200,4000
N00000699,F4600,10000
N00000699,F4700,5000
N00000699,F5100,3000
N00000699,F5300,3500
N00000699,G2100,1000
N00000699,G2500,3000
N00000699,G2820,4500
N00000699,G2850,5000
N00000699,G4100,1000
N00000699,G4900,2000
N00000699,G6400,3500
N00000699,G6500,11000
N00000699,H1120,10000
N00000699,H1400,5000
N00000699,H2100,31000
N00000699,H2200,8500
N00000699,H3100,0
N00000699,H3200,1000
N00000699,H3700,5000
N00000699,H4000,7500
N00000699,H4100,2000
N00000699,H4300,83500
N00000699,H4400,7500
N00000699,H4500,19500
N00000699,J2100,246165
N00000699,J2300,2500
N00000699,J2400,5000
N00000699,J5100,65013
N00000699,J5200,5000
N00000699,J7000,2300
N00000699,J7150,2500
N00000699,J7200,1000
N00000699,J7500,5000
N00000699,J7600,3000
N00000699,JE300,52
N00000699,K1000,43000
N00000699,K1100,10000
N00000699,K1200,18500
N00000699,K2000,4000
N00000699,L0000,3000
N00000699,L1100,2500
N00000699,L1200,10000
N00000699,L1300,10000
N00000699,L1400,15400
N00000699,L1500,3000
N00000699,LB100,38700
N00000699,LC100,2500
N00000699,LC150,5000
N00000699,LG100,0
N00000699,LG200,5000
N00000699,LG300,2500
N00000699,LM100,15500
N00000699,LT000,500
N00000699,LT100,5500
N00000699,LT300,5000
N00000699,LT400,2500
N00000699,LT500,5000
N00000699,LT600,2500
N00000699,M1000,8500
N00000699,M2200,1000
N00000699,M2300,7500
N00000699,T1100,3000
N00000699,T5100,10000
N00000699,T7100,3500
N00000699,T8300,4000
N00000699,Z1200,24250
N00001093,A5000,8000
N00001093,B5100,-5000
N00001093,C2100,1000
N00001093,C5000,-5000
N00001093,C6300,2000
N00001093,E5000,-1000
N00001093,F1100,5500
N00001093,F1300,2500
N00001093,F2000,2500
N00001093,F2200,2000
N00001093,F2400,2000
N00001093,F3100,4000
N00001093,F3200,2500
N00001093,F3300,2500
N00001093,F3400,-5000
N00001093,F5200,-2500
N00001093,G2300,2500
N00001093,G2810,5000
N00001093,G2900,7500
N00001093,G4900,-2500
N00001093,H1710,2500
N00001093,H4300,4000
N00001093,H4400,5000
N00001093,J7500,3000
N00001093,K1200,0
N00001093,LB100,10000
N00001093,LT600,1000
N00001093,M2200,2000
N00001093,T2100,1000
N00001093,T7100,-500
N00001093,X4000,1000
N00001489,A1400,5000
N00001489,A4500,4000
N00001489,B1000,5000
N00001489,B3000,2500
N00001489,B3200,1000
N00001489,B4000,9000
N00001489,B5100,1000
N00001489,C1100,1000
N00001489,C4100,2000
N00001489,C5000,2500
N00001489,C5120,2500
N00001489,C5130,2500
N00001489,C5400,7000
N00001489,C6400,3000
N00001489,C6500,2500
N00001489,D2000,2000
N00001489,D3000,5500
N00001489,D4000,1000
N00001489,D6000,1000
N00001489,E1000,2500
N00001489,E1120,7500
N00001489,E1140,7500
N00001489,E1160,5000
N00001489,E1600,12000
N00001489,E1620,5000
N00001489,E1630,3000
N00001489,E5000,2000
N00001489,F0000,1500
N00001489,F1000,1500
N00001489,F1100,58000
N00001489,F1200,1000
N00001489,F1300,1000
N00001489,F1400,3000
N00001489,F1410,1000
N00001489,F1420,6000
N00001489,F2000,2500
N00001489,F2100,27000
N00001489,F2110,5000
N00001489,F2200,2500
N00001489,F2300,4500
N00001489,F2400,3500
N00001489,F2500,2500
N00001489,F2700,1000
N00001489,F3000,6500
N00001489,F3100,36000
N00001489,F3200,9500
N00001489,F3300,31500
N00001489,F3400,14500
N00001489,F4300,7000
N00001489,F4600,10000
N00001489,F4700,1000
N00001489,F5000,1500
N00001489,F5100,4000
N00001489,F5200,2000
N00001489,F5300,2000
N00001489,F5500,1500
N00001489,F7000,3500
N00001489,G0000,2000
N00001489,G1000,3500
N00001489,G2100,2000
N00001489,G2200,3500
N00001489,G2400,6500
N00001489,G2500,1000
N00001489,G2900,6000
N00001489,G3000,500
N00001489,G4500,1000
N00001489,G4900,4000
N00001489,G5230,1000
N00001489,G5270,1000
N00001489,G5300,1000
N00001489,H0000,2000
N00001489,H1130,1000
N00001489,H1400,1000
N00001489,H1700,3000
N00001489,H1710,1500
N00001489,H2100,11500
N00001489,H2200,4500
N00001489,H3100,3500
N00001489,H3200,7000
N00001489,H3400,3500
N00001489,H3700,3500
N00001489,H4100,7000
N00001489,H4300,18000
N00001489,H4400,4000
N00001489,H4500,1000
N00001489,H5300,1000
N00001489,J1100,5500
N00001489,J2200,5000
N00001489,J2400,1000
N00001489,J7150,3187
N00001489,J7600,2500
N00001489,K1000,25465
N00001489,K1200,5500
N00001489,K2000,2500
N00001489,L1100,1000
N00001489,LC150,5000
N00001489,LT100,4500
N00001489,M0000,1000
N00001489,M1000,7000
N00001489,M1500,5000
N00001489,M1600,3000
N00001489,M2000,4500
N00001489,M2100,0
N00001489,M2200,5000
N00001489,M2300,5000
N00001489,M3300,2000
N00001489,M6000,1666
N00001489,T1100,4000
N00001489,T1400,-1000
N00001489,T2100,1000
N00001489,T2200,2000
N00001489,T3200,5000
N00001489,T7100,1000
N00001489,T8100,200
N00001489,T9100,-2500
N00001489,T9400,5000
N00001758,A1000,1000
N00001758,A1500,1000
N00001758,A2000,-2000
N00001758,A2300,2500
N00001758,A3100,1000
N00001758,A4000,-2500
N00001758,A4100,1000
N00001758,A4500,1000
N00001758,A6000,5000
N00001758,C1100,3000
N00001758,C2100,2500
N00001758,C2600,1000
N00001758,C4100,3000
N00001758,C4300,1000
N00001758,C5130,2000
N00001758,C5400,1000
N00001758,E1500,20500
N00001758,E1600,2500
N00001758,E1620,3000
N00001758,E1630,1000
N00001758,F1410,1000
N00001758,F2500,1000
N00001758,F3100,2000
N00001758,F3200,4750
N00001758,F3300,9500
N00001758,F3400,2500
N00001758,F4300,2000
N00001758,F4600,5000
N00001758,F5300,2500
N00001758,G0000,2000
N00001758,G2100,1000
N00001758,G2200,1000
N00001758,G2810,-2500
N00001758,G4300,1000
N00001758,G6500,4500
N00001758,G7000,2500
N00001758,H1120,2500
N00001758,H1400,2500
N00001758,H1700,6500
N00001758,H2200,-1000
N00001758,H3200,3000
N00001758,H4400,6000
N00001758,H4500,500
N00001758,J6100,861
N00001758,J7120,-997
N00001758,J9000,1000
N00001758,K1000,5000
N00001758,K1200,2500
N00001758,LT100,1000
N00001758,M1000,0
N00001758,M1500,2500
N00001758,M2200,1000
N00001758,M2300,1000
N00001758,M7200,-2500
N00001758,T2200,1000
N00001758,T5100,2500
N00001758,T7100,500
N00001758,Z5100,3066
N00001758,Z5200,159
N00001955,A1200,19000
N00001955,A4000,2500
N00001955,A4100,1000
N00001955,B1000,7500
N00001955,B3000,1000
N00001955,B3400,1000
N00001955,B4000,26125
N00001955,B5100,3500
N00001955,C2000,6000
N00001955,C2100,6500
N00001955,C2200,4000
N00001955,C2400,6000
N00001955,C4100,3000
N00001955,C4500,1500
N00001955,C5000,500
N00001955,C5110,1000
N00001955,C5120,4500
N00001955,C5130,2500
N00001955,C6300,2500
N00001955,C6400,2500
N00001955,D2000,46000
N00001955,D3000,13000
N00001955,D4000,1000
N00001955,D6000,3500
N00001955,D9000,3450
N00001955,E1110,2500
N00001955,E1150,2500
N00001955,E1160,1000
N00001955,E1170,1000
N00001955,E1190,2500
N00001955,E1320,1000
N00001955,E1600,9750
N00001955,E1610,5000
N00001955,E1620,7000
N00001955,E1630,1000
N00001955,E1700,4000
N00001955,E5000,1000
N00001955,F0000,5000
N00001955,F1100,11000
N00001955,F1300,6000
N00001955,F1400,1500
N00001955,F2000,1000
N00001955,F2100,26500
N00001955,F2110,6000
N00001955,F2200,1000
N00001955,F2300,3000
N00001955,F2400,1000
N00001955,F2500,6000
N00001955,F3000,1000
N00001955,F3100,22000
N00001955,F3200,27000
N00001955,F3300,33000
N00001955,F3400,11500
N00001955,F4100,21500
N00001955,F4200,6000
N00001955,F4500,5000
N00001955,F4600,5000
N00001955,F5100,27500
N00001955,F5300,2000
N00001955,F5500,9500
N00001955,G0000,3000
N00001955,G1000,1000
N00001955,G1200,2750
N00001955,G2400,2000
N00001955,G2500,1000
N00001955,G2850,15000
N00001955,G2900,1000
N00001955,G3500,1000
N00001955,G4100,1000
N00001955,G4300,5000
N00001955,G4900,2000
N00001955,G5230,2500
N00001955,G5240,1000
N00001955,G5250,2000
N00001955,G5270,5500
N00001955,G5300,10000
N00001955,G6400,1000
N00001955,H0000,5000
N00001955,H1100,22500
N00001955,H1110,7000
N00001955,H1120,7500
N00001955,H1130,37000
N00001955,H1400,16000
N00001955,H1700,15500
N00001955,H1710,7000
N00001955,H1750,2000
N00001955,H2100,15000
N00001955,H2200,14000
N00001955,H3000,500
N00001955,H3100,5000
