Name,Finance,Health,Builders,committees,Legal,Unions,Manufacturing,Govt/NGO,Agriculture,Comms,Defense,Energy,General,Transport,Policy
 Pat Roberts (R) ,65000,44500,5000,-2654,7000,1000,3000,1000,124500,18500,0,20000,58500,7000,5861
 Shelley Moore Capito (R) ,72500,34500,29500,0,16500,14500,21000,1000,7000,45500,18500,20000,19500,35000,4361
 Johnny Isakson (R) ,45000,123000,6500,0,9500,6000,23000,0,15000,25000,10000,500,19000,17500,861
 Ron Wyden (D) ,52000,107150,7000,0,8500,1500,7000,0,4000,18600,1000,16500,39500,20410,1000
 Sherrod Brown (D) ,426500,237200,87750,35070,79200,188649,53500,1000,40500,102613,28390,84953,159000,25250,588615
 Dianne Feinstein (D) ,132900,127500,46200,4250,69250,43000,35000,0,110950,132250,57500,48400,97200,58000,288584
 Christopher S Murphy (D) ,279500,203750,17000,58875,42750,87000,31500,0,7000,58322,51000,49110,31321,44500,242030
 Robert Menendez (D) ,169500,180500,54600,24250,75500,80400,17000,0,7000,63000,22000,34895,38500,20500,337478
 Angus King (I) ,176000,61500,31000,24674,31231,104000,9000,0,72500,102000,84000,70033,55000,32000,184069
 Mazie K Hirono (D) ,63800,43500,59500,8000,35800,121639,1000,0,22000,109000,53500,39209,68500,59700,240500
 Sheldon Whitehouse (D) ,55000,65906,44750,18920,60165,69150,8000,0,700,94500,12500,57751,50500,23000,302100
 Mike Crapo (R) ,503700,118000,37100,1000,19150,3500,18582,0,16000,30900,7000,23500,24148,28245,4361
 Cindy Hyde-Smith (R) ,106089,29500,24500,7000,19558,4000,10000,0,140000,38200,31500,70000,718500,58000,215561
 Claire McCaskill (D) ,369600,154700,100450,28299,84150,177500,34500,5000,42500,140250,54000,72500,103500,80499,5442998
 Doug Jones (D) ,126000,31500,65500,648948,46500,148918,0,1000,36500,32500,9500,27999,21000,24500,5561661
 Joe Donnelly (D) ,500890,180500,69250,177274,103706,149250,49500,0,140100,96999,92000,120750,104200,67500,4468131
 Tammy Baldwin (D) ,93900,141800,62500,29680,41900,164750,41900,2000,60000,74700,30500,66467,52500,57500,4799224
 Tim Kaine (D) ,238300,231950,61700,16320,117950,112100,16500,6000,34000,129500,145188,87419,88855,71500,575265
 Martin Heinrich (D) ,182990,212500,52000,27825,84500,101762,18000,3500,24000,87700,118000,152630,73700,55500,342723
 Tom Carper (D) ,374350,207910,51200,5500,46950,32000,71210,9000,29000,67000,22000,130000,70500,84910,229900
 Ben Cardin (D) ,239000,218000,71125,8000,48468,119000,21500,8000,22500,50500,66950,46793,63750,56500,215050
 Bob Casey (D) ,276584,416403,72750,281761,129660,150000,67500,2000,115750,146800,47500,76651,151346,77700,456099
 Roger Wicker (R) ,186161,148500,65750,64095,85500,27000,29000,6000,129500,219400,116625,174200,95900,212738,494831
 Deb Fischer (R) ,220630,93500,72200,36361,63623,44083,46500,3000,175750,130050,67000,138500,157340,180499,351436
 Amy Klobuchar (D) ,153900,78650,70000,14000,88023,110500,21000,0,177000,124350,2000,55250,120000,144400,352407
 Jon Tester (D) ,568910,199750,34500,97327,87862,119000,12000,0,68500,145750,436822,51532,111850,106500,1609652
 Dean Heller (R) ,748650,413332,106000,56376,78950,22000,623539,10000,49000,186500,10500,384837,234500,232625,2491987
 Debbie Stabenow (D) ,387500,328050,82500,83159,81950,121000,613900,8000,318103,139200,33000,146543,186000,59940,420776
 Joe Manchin (D) ,328288,80500,70500,335637,84000,125000,254500,0,41642,140377,99000,525158,74000,69000,4270331
 John A Barrasso (R) ,316500,390200,130000,8131,84000,5000,270904,0,107500,113500,47000,450400,135500,175470,316961
 Heidi Heitkamp (D) ,593490,186000,99201,870786,87919,139500,200300,3500,212500,125250,34000,250050,150250,65500,1524905
 Bill Nelson (D) ,232000,248199,75600,18930,113884,1202966,25500,2000,49000,168475,98500,48675,487900,176000,12174145
