,Name,Party,ideology,Amt
137, Tammy Duckworth (D) ,D,Health,41000
138, Tom Carper (D) ,D,Health,207910
139, Catherine Cortez Masto (D) ,D,Health,22000
140, Jeanne Shaheen (D) ,D,Health,29200
141, Martin Heinrich (D) ,D,Health,212500
142, Tim Kaine (D) ,D,Health,231950
143, Tammy Baldwin (D) ,D,Health,141800
144, Brian Schatz (D) ,D,Health,14000
145, Bernie Sanders (I) ,I,Health,2500
146, Angus King (I) ,I,Health,61500
147, Pat Roberts (R) ,R,Health,44500
148, Johnny Isakson (R) ,R,Health,123000
149, Shelley Moore Capito (R) ,R,Health,34500
150, John Kennedy (R) ,R,Health,33500
151, Lisa Murkowski (R) ,R,Health,60000
152, Cindy Hyde-Smith (R) ,R,Health,29500
153, Susan Collins (R) ,R,Health,103500
154, Roger Wicker (R) ,R,Health,148500
155, Deb Fischer (R) ,R,Health,93500
156, Dean Heller (R) ,R,Health,413332
157, John A Barrasso (R) ,R,Health,390200
158, Mike Crapo (R) ,R,Health,118000
159, David Perdue (R) ,R,Health,51500
160, Orrin G Hatch (R) ,R,Health,284099
161, John Thune (R) ,R,Health,67500
162, James Lankford (R) ,R,Health,8500
163, Jerry Moran (R) ,R,Health,12500
164, Joni Ernst (R) ,R,Health,5000
165, Dan Sullivan (R) ,R,Health,6000
166, Steven Daines (R) ,R,Health,15500
167, Mike Rounds (R) ,R,Health,12000
168, Lamar Alexander (R) ,R,Health,76200
169, Tom Cotton (R) ,R,Health,7000
170, Marco Rubio (R) ,R,Health,38250
171, James M Inhofe (R) ,R,Health,5500
172, Lindsey Graham (R) ,R,Health,24000
173, Ron Johnson (R) ,R,Health,14000
174, Bob Corker (R) ,R,Health,35500
175, Todd Young (R) ,R,Health,46150
176, Ben Sasse (R) ,R,Health,31500
177, Cory Gardner (R) ,R,Health,75500
178, John Hoeven (R) ,R,Health,20500
179, Chuck Grassley (R) ,R,Health,20000
180, Rob Portman (R) ,R,Health,103900
181, Tim Scott (R) ,R,Health,87500
182, Bill Cassidy (R) ,R,Health,212700
183, Pat Toomey (R) ,R,Health,73000
184, Thom Tillis (R) ,R,Health,90000
185, Mitch McConnell (R) ,R,Health,75613
186, John Boozman (R) ,R,Health,5500
187, John Cornyn (R) ,R,Health,109309
188, Richard C Shelby (R) ,R,Health,2500
189, Richard Burr (R) ,R,Health,24000
190, James E Risch (R) ,R,Health,4500
191, Mike Enzi (R) ,R,Health,27000
192, Mike Lee (R) ,R,Health,17000
193, Rand Paul (R) ,R,Health,7500
194, Jeff Flake (R) ,R,Health,60000
195, Ted Cruz (R) ,R,Health,45500
196, Bill Nelson (D) ,D,Builders,75600
197, Chris Coons (D) ,D,Builders,1000
198, Claire McCaskill (D) ,D,Builders,100450
199, Jack Reed (D) ,D,Builders,24000
200, Sheldon Whitehouse (D) ,D,Builders,44750
201, Maggie Hassan (D) ,D,Builders,24236
202, Michael F Bennet (D) ,D,Builders,12500
203, Maria Cantwell (D) ,D,Builders,-1000
204, Mazie K Hirono (D) ,D,Builders,59500
205, Patrick Leahy (D) ,D,Builders,0
206, Tom Udall (D) ,D,Builders,5000
207, Richard Blumenthal (D) ,D,Builders,0
208, Charles E Schumer (D) ,D,Builders,5000
209, Robert Menendez (D) ,D,Builders,54600
210, Jeff Merkley (D) ,D,Builders,2200
211, Kamala D Harris (D) ,D,Builders,-5000
212, Christopher S Murphy (D) ,D,Builders,17000
213, Chris Van Hollen (D) ,D,Builders,1000
214, Heidi Heitkamp (D) ,D,Builders,99201
215, Tina Smith (D) ,D,Builders,49000
216, Dianne Feinstein (D) ,D,Builders,46200
217, Kirsten Gillibrand (D) ,D,Builders,24500
218, Sherrod Brown (D) ,D,Builders,87750
219, Doug Jones (D) ,D,Builders,65500
220, Cory Booker (D) ,D,Builders,6500
221, Joe Donnelly (D) ,D,Builders,69250
222, Elizabeth Warren (D) ,D,Builders,22500
223, Joe Manchin (D) ,D,Builders,70500
224, Gary Peters (D) ,D,Builders,14000
225, Debbie Stabenow (D) ,D,Builders,82500
226, Jon Tester (D) ,D,Builders,34500
227, Patty Murray (D) ,D,Builders,19500
228, Amy Klobuchar (D) ,D,Builders,70000
229, Mark Warner (D) ,D,Builders,10000
230, Ed Markey (D) ,D,Builders,2000
231, Dick Durbin (D) ,D,Builders,18500
232, Bob Casey (D) ,D,Builders,72750
233, Ron Wyden (D) ,D,Builders,7000
234, Ben Cardin (D) ,D,Builders,71125
235, Tammy Duckworth (D) ,D,Builders,12500
236, Tom Carper (D) ,D,Builders,51200
237, Catherine Cortez Masto (D) ,D,Builders,17321
238, Jeanne Shaheen (D) ,D,Builders,11000
239, Martin Heinrich (D) ,D,Builders,52000
240, Tim Kaine (D) ,D,Builders,61700
241, Tammy Baldwin (D) ,D,Builders,62500
242, Brian Schatz (D) ,D,Builders,4000
243, Bernie Sanders (I) ,I,Builders,15600
244, Angus King (I) ,I,Builders,31000
245, Pat Roberts (R) ,R,Builders,5000
246, Johnny Isakson (R) ,R,Builders,6500
247, Shelley Moore Capito (R) ,R,Builders,29500
248, John Kennedy (R) ,R,Builders,5000
249, Lisa Murkowski (R) ,R,Builders,16500
250, Cindy Hyde-Smith (R) ,R,Builders,24500
251, Susan Collins (R) ,R,Builders,8250
252, Roger Wicker (R) ,R,Builders,65750
253, Deb Fischer (R) ,R,Builders,72200
254, Dean Heller (R) ,R,Builders,106000
255, John A Barrasso (R) ,R,Builders,130000
256, Mike Crapo (R) ,R,Builders,37100
257, David Perdue (R) ,R,Builders,7500
258, Orrin G Hatch (R) ,R,Builders,59000
259, John Thune (R) ,R,Builders,16500
260, James Lankford (R) ,R,Builders,500
261, Jerry Moran (R) ,R,Builders,0
262, Joni Ernst (R) ,R,Builders,9000
263, Dan Sullivan (R) ,R,Builders,2000
264, Steven Daines (R) ,R,Builders,17500
265, Mike Rounds (R) ,R,Builders,0
266, Lamar Alexander (R) ,R,Builders,0
267, Tom Cotton (R) ,R,Builders,1000
268, Marco Rubio (R) ,R,Builders,12500
269, James M Inhofe (R) ,R,Builders,15000
270, Lindsey Graham (R) ,R,Builders,12000
271, Ron Johnson (R) ,R,Builders,-500
272, Bob Corker (R) ,R,Builders,8500
273, Todd Young (R) ,R,Builders,3500
274, Ben Sasse (R) ,R,Builders,3000
275, Cory Gardner (R) ,R,Builders,12500
276, John Hoeven (R) ,R,Builders,2000
277, Chuck Grassley (R) ,R,Builders,0
278, Rob Portman (R) ,R,Builders,34000
279, Tim Scott (R) ,R,Builders,19000
280, Bill Cassidy (R) ,R,Builders,4500
281, Pat Toomey (R) ,R,Builders,18500
282, Thom Tillis (R) ,R,Builders,9750
283, Mitch McConnell (R) ,R,Builders,23500
284, John Boozman (R) ,R,Builders,0
