,Name,Party,ideology,Amt
607, Tina Smith (D) ,D,MFG,12000
608, Dianne Feinstein (D) ,D,MFG,35000
609, Kirsten Gillibrand (D) ,D,MFG,8000
610, Sherrod Brown (D) ,D,MFG,53500
611, Doug Jones (D) ,D,MFG,0
612, Cory Booker (D) ,D,MFG,4000
613, Joe Donnelly (D) ,D,MFG,49500
614, Elizabeth Warren (D) ,D,MFG,0
615, Joe Manchin (D) ,D,MFG,254500
616, Gary Peters (D) ,D,MFG,3000
617, Debbie Stabenow (D) ,D,MFG,613900
618, Jon Tester (D) ,D,MFG,12000
619, Patty Murray (D) ,D,MFG,6000
620, Amy Klobuchar (D) ,D,MFG,21000
621, Mark Warner (D) ,D,MFG,12500
622, Ed Markey (D) ,D,MFG,7000
623, Dick Durbin (D) ,D,MFG,9000
624, Bob Casey (D) ,D,MFG,67500
625, Ron Wyden (D) ,D,MFG,7000
626, Ben Cardin (D) ,D,MFG,21500
627, Tammy Duckworth (D) ,D,MFG,5000
628, Tom Carper (D) ,D,MFG,71210
629, Catherine Cortez Masto (D) ,D,MFG,0
630, Jeanne Shaheen (D) ,D,MFG,4500
631, Martin Heinrich (D) ,D,MFG,18000
632, Tim Kaine (D) ,D,MFG,16500
633, Tammy Baldwin (D) ,D,MFG,41900
634, Brian Schatz (D) ,D,MFG,0
635, Bernie Sanders (I) ,I,MFG,0
636, Angus King (I) ,I,MFG,9000
637, Pat Roberts (R) ,R,MFG,3000
638, Johnny Isakson (R) ,R,MFG,23000
639, Shelley Moore Capito (R) ,R,MFG,21000
640, John Kennedy (R) ,R,MFG,10000
641, Lisa Murkowski (R) ,R,MFG,12166
642, Cindy Hyde-Smith (R) ,R,MFG,10000
643, Susan Collins (R) ,R,MFG,6000
644, Roger Wicker (R) ,R,MFG,29000
645, Deb Fischer (R) ,R,MFG,46500
646, Dean Heller (R) ,R,MFG,623539
647, John A Barrasso (R) ,R,MFG,270904
648, Mike Crapo (R) ,R,MFG,18582
649, David Perdue (R) ,R,MFG,5000
650, Orrin G Hatch (R) ,R,MFG,42075
651, John Thune (R) ,R,MFG,15000
652, James Lankford (R) ,R,MFG,10500
653, Jerry Moran (R) ,R,MFG,11000
654, Joni Ernst (R) ,R,MFG,18000
655, Dan Sullivan (R) ,R,MFG,0
656, Steven Daines (R) ,R,MFG,3500
657, Mike Rounds (R) ,R,MFG,21348
658, Lamar Alexander (R) ,R,MFG,10500
659, Tom Cotton (R) ,R,MFG,3500
660, Marco Rubio (R) ,R,MFG,4000
661, James M Inhofe (R) ,R,MFG,17451
662, Lindsey Graham (R) ,R,MFG,9500
663, Ron Johnson (R) ,R,MFG,24500
664, Bob Corker (R) ,R,MFG,19500
665, Todd Young (R) ,R,MFG,10500
666, Ben Sasse (R) ,R,MFG,1000
667, Cory Gardner (R) ,R,MFG,11000
668, John Hoeven (R) ,R,MFG,7750
669, Chuck Grassley (R) ,R,MFG,2000
670, Rob Portman (R) ,R,MFG,49666
671, Tim Scott (R) ,R,MFG,24000
672, Bill Cassidy (R) ,R,MFG,20500
673, Pat Toomey (R) ,R,MFG,34166
674, Thom Tillis (R) ,R,MFG,21000
675, Mitch McConnell (R) ,R,MFG,19200
676, John Boozman (R) ,R,MFG,5500
677, John Cornyn (R) ,R,MFG,41000
678, Richard C Shelby (R) ,R,MFG,0
679, Richard Burr (R) ,R,MFG,2500
680, James E Risch (R) ,R,MFG,6668
681, Mike Enzi (R) ,R,MFG,11000
682, Mike Lee (R) ,R,MFG,2300
683, Rand Paul (R) ,R,MFG,0
684, Jeff Flake (R) ,R,MFG,17500
685, Ted Cruz (R) ,R,MFG,30000
686, Bill Nelson (D) ,D,Govt/NGO,2000
687, Chris Coons (D) ,D,Govt/NGO,0
688, Claire McCaskill (D) ,D,Govt/NGO,5000
689, Jack Reed (D) ,D,Govt/NGO,0
690, Sheldon Whitehouse (D) ,D,Govt/NGO,0
691, Maggie Hassan (D) ,D,Govt/NGO,0
692, Michael F Bennet (D) ,D,Govt/NGO,2000
693, Maria Cantwell (D) ,D,Govt/NGO,0
694, Mazie K Hirono (D) ,D,Govt/NGO,0
695, Patrick Leahy (D) ,D,Govt/NGO,0
696, Tom Udall (D) ,D,Govt/NGO,0
697, Richard Blumenthal (D) ,D,Govt/NGO,1000
698, Charles E Schumer (D) ,D,Govt/NGO,1000
699, Robert Menendez (D) ,D,Govt/NGO,0
700, Jeff Merkley (D) ,D,Govt/NGO,0
701, Kamala D Harris (D) ,D,Govt/NGO,0
702, Christopher S Murphy (D) ,D,Govt/NGO,0
703, Chris Van Hollen (D) ,D,Govt/NGO,1000
704, Heidi Heitkamp (D) ,D,Govt/NGO,3500
705, Tina Smith (D) ,D,Govt/NGO,0
706, Dianne Feinstein (D) ,D,Govt/NGO,0
707, Kirsten Gillibrand (D) ,D,Govt/NGO,0
708, Sherrod Brown (D) ,D,Govt/NGO,1000
709, Doug Jones (D) ,D,Govt/NGO,1000
710, Cory Booker (D) ,D,Govt/NGO,0
711, Joe Donnelly (D) ,D,Govt/NGO,0
712, Elizabeth Warren (D) ,D,Govt/NGO,0
713, Joe Manchin (D) ,D,Govt/NGO,0
714, Gary Peters (D) ,D,Govt/NGO,0
715, Debbie Stabenow (D) ,D,Govt/NGO,8000
716, Jon Tester (D) ,D,Govt/NGO,0
717, Patty Murray (D) ,D,Govt/NGO,3000
718, Amy Klobuchar (D) ,D,Govt/NGO,0
719, Mark Warner (D) ,D,Govt/NGO,1000
720, Ed Markey (D) ,D,Govt/NGO,0
721, Dick Durbin (D) ,D,Govt/NGO,0
722, Bob Casey (D) ,D,Govt/NGO,2000
723, Ron Wyden (D) ,D,Govt/NGO,0
724, Ben Cardin (D) ,D,Govt/NGO,8000
725, Tammy Duckworth (D) ,D,Govt/NGO,0
726, Tom Carper (D) ,D,Govt/NGO,9000
727, Catherine Cortez Masto (D) ,D,Govt/NGO,0
728, Jeanne Shaheen (D) ,D,Govt/NGO,0
729, Martin Heinrich (D) ,D,Govt/NGO,3500
730, Tim Kaine (D) ,D,Govt/NGO,6000
731, Tammy Baldwin (D) ,D,Govt/NGO,2000
732, Brian Schatz (D) ,D,Govt/NGO,0
733, Bernie Sanders (I) ,I,Govt/NGO,0
734, Angus King (I) ,I,Govt/NGO,0
735, Pat Roberts (R) ,R,Govt/NGO,1000
736, Johnny Isakson (R) ,R,Govt/NGO,0
737, Shelley Moore Capito (R) ,R,Govt/NGO,1000
738, John Kennedy (R) ,R,Govt/NGO,1000
739, Lisa Murkowski (R) ,R,Govt/NGO,0
740, Cindy Hyde-Smith (R) ,R,Govt/NGO,0
741, Susan Collins (R) ,R,Govt/NGO,1000
742, Roger Wicker (R) ,R,Govt/NGO,6000
743, Deb Fischer (R) ,R,Govt/NGO,3000
744, Dean Heller (R) ,R,Govt/NGO,10000
745, John A Barrasso (R) ,R,Govt/NGO,0
746, Mike Crapo (R) ,R,Govt/NGO,0
747, David Perdue (R) ,R,Govt/NGO,1000
748, Orrin G Hatch (R) ,R,Govt/NGO,0
749, John Thune (R) ,R,Govt/NGO,1000
750, James Lankford (R) ,R,Govt/NGO,1000
751, Jerry Moran (R) ,R,Govt/NGO,1000
752, Joni Ernst (R) ,R,Govt/NGO,0
753, Dan Sullivan (R) ,R,Govt/NGO,0
754, Steven Daines (R) ,R,Govt/NGO,0
755, Mike Rounds (R) ,R,Govt/NGO,0
756, Lamar Alexander (R) ,R,Govt/NGO,3000
757, Tom Cotton (R) ,R,Govt/NGO,0
758, Marco Rubio (R) ,R,Govt/NGO,0
759, James M Inhofe (R) ,R,Govt/NGO,0
760, Lindsey Graham (R) ,R,Govt/NGO,0
761, Ron Johnson (R) ,R,Govt/NGO,0
762, Bob Corker (R) ,R,Govt/NGO,0
763, Todd Young (R) ,R,Govt/NGO,4000
764, Ben Sasse (R) ,R,Govt/NGO,0
765, Cory Gardner (R) ,R,Govt/NGO,0
766, John Hoeven (R) ,R,Govt/NGO,1000
767, Chuck Grassley (R) ,R,Govt/NGO,0
768, Rob Portman (R) ,R,Govt/NGO,0
769, Tim Scott (R) ,R,Govt/NGO,1000
770, Bill Cassidy (R) ,R,Govt/NGO,1000
771, Pat Toomey (R) ,R,Govt/NGO,0
772, Thom Tillis (R) ,R,Govt/NGO,1000
773, Mitch McConnell (R) ,R,Govt/NGO,0
774, John Boozman (R) ,R,Govt/NGO,0
775, John Cornyn (R) ,R,Govt/NGO,1000
776, Richard C Shelby (R) ,R,Govt/NGO,0
777, Richard Burr (R) ,R,Govt/NGO,2500
778, James E Risch (R) ,R,Govt/NGO,0
779, Mike Enzi (R) ,R,Govt/NGO,0
780, Mike Lee (R) ,R,Govt/NGO,0
781, Rand Paul (R) ,R,Govt/NGO,0
782, Jeff Flake (R) ,R,Govt/NGO,0
783, Ted Cruz (R) ,R,Govt/NGO,0
784, Bill Nelson (D) ,D,Agriculture,49000
785, Chris Coons (D) ,D,Agriculture,6000
786, Claire McCaskill (D) ,D,Agriculture,42500
787, Jack Reed (D) ,D,Agriculture,0
788, Sheldon Whitehouse (D) ,D,Agriculture,700
789, Maggie Hassan (D) ,D,Agriculture,4500
790, Michael F Bennet (D) ,D,Agriculture,2000
791, Maria Cantwell (D) ,D,Agriculture,5000
792, Mazie K Hirono (D) ,D,Agriculture,22000
793, Patrick Leahy (D) ,D,Agriculture,8600
794, Tom Udall (D) ,D,Agriculture,1000
795, Richard Blumenthal (D) ,D,Agriculture,0
796, Charles E Schumer (D) ,D,Agriculture,8000
797, Robert Menendez (D) ,D,Agriculture,7000
798, Jeff Merkley (D) ,D,Agriculture,7500
799, Kamala D Harris (D) ,D,Agriculture,6000
800, Christopher S Murphy (D) ,D,Agriculture,7000
801, Chris Van Hollen (D) ,D,Agriculture,0
802, Heidi Heitkamp (D) ,D,Agriculture,212500
803, Tina Smith (D) ,D,Agriculture,86500
804, Dianne Feinstein (D) ,D,Agriculture,110950
805, Kirsten Gillibrand (D) ,D,Agriculture,20000
806, Sherrod Brown (D) ,D,Agriculture,40500
807, Doug Jones (D) ,D,Agriculture,36500
808, Cory Booker (D) ,D,Agriculture,0
809, Joe Donnelly (D) ,D,Agriculture,140100
810, Elizabeth Warren (D) ,D,Agriculture,0
811, Joe Manchin (D) ,D,Agriculture,41642
812, Gary Peters (D) ,D,Agriculture,10000
813, Debbie Stabenow (D) ,D,Agriculture,318103
814, Jon Tester (D) ,D,Agriculture,68500
815, Patty Murray (D) ,D,Agriculture,6000
816, Amy Klobuchar (D) ,D,Agriculture,177000
817, Mark Warner (D) ,D,Agriculture,30500
818, Ed Markey (D) ,D,Agriculture,5000
819, Dick Durbin (D) ,D,Agriculture,0
820, Bob Casey (D) ,D,Agriculture,115750
821, Ron Wyden (D) ,D,Agriculture,4000
822, Ben Cardin (D) ,D,Agriculture,22500
823, Tammy Duckworth (D) ,D,Agriculture,18500
824, Tom Carper (D) ,D,Agriculture,29000
825, Catherine Cortez Masto (D) ,D,Agriculture,15000
826, Jeanne Shaheen (D) ,D,Agriculture,5500
827, Martin Heinrich (D) ,D,Agriculture,24000
828, Tim Kaine (D) ,D,Agriculture,34000
829, Tammy Baldwin (D) ,D,Agriculture,60000
830, Brian Schatz (D) ,D,Agriculture,0
831, Bernie Sanders (I) ,I,Agriculture,0
832, Angus King (I) ,I,Agriculture,72500
833, Pat Roberts (R) ,R,Agriculture,124500
834, Johnny Isakson (R) ,R,Agriculture,15000
835, Shelley Moore Capito (R) ,R,Agriculture,7000
836, John Kennedy (R) ,R,Agriculture,50173
837, Lisa Murkowski (R) ,R,Agriculture,0
838, Cindy Hyde-Smith (R) ,R,Agriculture,140000
839, Susan Collins (R) ,R,Agriculture,13000
840, Roger Wicker (R) ,R,Agriculture,129500
841, Deb Fischer (R) ,R,Agriculture,175750
842, Dean Heller (R) ,R,Agriculture,49000
843, John A Barrasso (R) ,R,Agriculture,107500
844, Mike Crapo (R) ,R,Agriculture,16000
845, David Perdue (R) ,R,Agriculture,51000
846, Orrin G Hatch (R) ,R,Agriculture,18000
847, John Thune (R) ,R,Agriculture,35000
848, James Lankford (R) ,R,Agriculture,1000
849, Jerry Moran (R) ,R,Agriculture,19250
850, Joni Ernst (R) ,R,Agriculture,16000
851, Dan Sullivan (R) ,R,Agriculture,1000
852, Steven Daines (R) ,R,Agriculture,22000
853, Mike Rounds (R) ,R,Agriculture,13500
854, Lamar Alexander (R) ,R,Agriculture,6500
855, Tom Cotton (R) ,R,Agriculture,4000
856, Marco Rubio (R) ,R,Agriculture,19500
857, James M Inhofe (R) ,R,Agriculture,11000
858, Lindsey Graham (R) ,R,Agriculture,23700
859, Ron Johnson (R) ,R,Agriculture,17500
860, Bob Corker (R) ,R,Agriculture,0
861, Todd Young (R) ,R,Agriculture,8250
862, Ben Sasse (R) ,R,Agriculture,6000
863, Cory Gardner (R) ,R,Agriculture,25500
864, John Hoeven (R) ,R,Agriculture,46500
865, Chuck Grassley (R) ,R,Agriculture,8000
866, Rob Portman (R) ,R,Agriculture,5000
867, Tim Scott (R) ,R,Agriculture,15000
868, Bill Cassidy (R) ,R,Agriculture,29000
869, Pat Toomey (R) ,R,Agriculture,9000
870, Thom Tillis (R) ,R,Agriculture,34000
871, Mitch McConnell (R) ,R,Agriculture,32000
872, John Boozman (R) ,R,Agriculture,56250
873, John Cornyn (R) ,R,Agriculture,25000
874, Richard C Shelby (R) ,R,Agriculture,3500
875, Richard Burr (R) ,R,Agriculture,0
876, James E Risch (R) ,R,Agriculture,1500
877, Mike Enzi (R) ,R,Agriculture,3500
878, Mike Lee (R) ,R,Agriculture,2000
879, Rand Paul (R) ,R,Agriculture,1000
880, Jeff Flake (R) ,R,Agriculture,11000
881, Ted Cruz (R) ,R,Agriculture,23327
882, Bill Nelson (D) ,D,Comms,168475
883, Chris Coons (D) ,D,Comms,27500
884, Claire McCaskill (D) ,D,Comms,140250
885, Jack Reed (D) ,D,Comms,7500
886, Sheldon Whitehouse (D) ,D,Comms,94500
887, Maggie Hassan (D) ,D,Comms,18250
888, Michael F Bennet (D) ,D,Comms,3000
889, Maria Cantwell (D) ,D,Comms,0
890, Mazie K Hirono (D) ,D,Comms,109000
891, Patrick Leahy (D) ,D,Comms,14500
892, Tom Udall (D) ,D,Comms,16000
893, Richard Blumenthal (D) ,D,Comms,12500
894, Charles E Schumer (D) ,D,Comms,-2000
895, Robert Menendez (D) ,D,Comms,63000
896, Jeff Merkley (D) ,D,Comms,0
897, Kamala D Harris (D) ,D,Comms,5000
898, Christopher S Murphy (D) ,D,Comms,58322
899, Chris Van Hollen (D) ,D,Comms,-2000
900, Heidi Heitkamp (D) ,D,Comms,125250
901, Tina Smith (D) ,D,Comms,31500
902, Dianne Feinstein (D) ,D,Comms,132250
903, Kirsten Gillibrand (D) ,D,Comms,32500
904, Sherrod Brown (D) ,D,Comms,102613
905, Doug Jones (D) ,D,Comms,32500
906, Cory Booker (D) ,D,Comms,49500
907, Joe Donnelly (D) ,D,Comms,96999
908, Elizabeth Warren (D) ,D,Comms,-10000
909, Joe Manchin (D) ,D,Comms,140377
910, Gary Peters (D) ,D,Comms,27500
911, Debbie Stabenow (D) ,D,Comms,139200
912, Jon Tester (D) ,D,Comms,145750
913, Patty Murray (D) ,D,Comms,7000
914, Amy Klobuchar (D) ,D,Comms,124350
915, Mark Warner (D) ,D,Comms,44500
916, Ed Markey (D) ,D,Comms,57700
917, Dick Durbin (D) ,D,Comms,3500
918, Bob Casey (D) ,D,Comms,146800
919, Ron Wyden (D) ,D,Comms,18600
920, Ben Cardin (D) ,D,Comms,50500
921, Tammy Duckworth (D) ,D,Comms,22000
922, Tom Carper (D) ,D,Comms,67000
923, Catherine Cortez Masto (D) ,D,Comms,29500
924, Jeanne Shaheen (D) ,D,Comms,12750
925, Martin Heinrich (D) ,D,Comms,87700
926, Tim Kaine (D) ,D,Comms,129500
927, Tammy Baldwin (D) ,D,Comms,74700
928, Brian Schatz (D) ,D,Comms,45000
929, Bernie Sanders (I) ,I,Comms,1500
930, Angus King (I) ,I,Comms,102000
931, Pat Roberts (R) ,R,Comms,18500
932, Johnny Isakson (R) ,R,Comms,25000
933, Shelley Moore Capito (R) ,R,Comms,45500
934, John Kennedy (R) ,R,Comms,14000
935, Lisa Murkowski (R) ,R,Comms,20000
936, Cindy Hyde-Smith (R) ,R,Comms,38200
937, Susan Collins (R) ,R,Comms,15000
938, Roger Wicker (R) ,R,Comms,219400
939, Deb Fischer (R) ,R,Comms,130050
940, Dean Heller (R) ,R,Comms,186500
941, John A Barrasso (R) ,R,Comms,113500
942, Mike Crapo (R) ,R,Comms,30900
943, David Perdue (R) ,R,Comms,21000
944, Orrin G Hatch (R) ,R,Comms,137100
945, John Thune (R) ,R,Comms,71000
946, James Lankford (R) ,R,Comms,27250
947, Jerry Moran (R) ,R,Comms,42200
948, Joni Ernst (R) ,R,Comms,11500
949, Dan Sullivan (R) ,R,Comms,28000
950, Steven Daines (R) ,R,Comms,33000
951, Mike Rounds (R) ,R,Comms,16500
952, Lamar Alexander (R) ,R,Comms,8500
953, Tom Cotton (R) ,R,Comms,38180
954, Marco Rubio (R) ,R,Comms,18000
955, James M Inhofe (R) ,R,Comms,26500
956, Lindsey Graham (R) ,R,Comms,12500
957, Ron Johnson (R) ,R,Comms,50000
958, Bob Corker (R) ,R,Comms,32000
959, Todd Young (R) ,R,Comms,19000
960, Ben Sasse (R) ,R,Comms,27200
961, Cory Gardner (R) ,R,Comms,73500
962, John Hoeven (R) ,R,Comms,8080
963, Chuck Grassley (R) ,R,Comms,13500
964, Rob Portman (R) ,R,Comms,23500
965, Tim Scott (R) ,R,Comms,11000
966, Bill Cassidy (R) ,R,Comms,23500
967, Pat Toomey (R) ,R,Comms,28000
968, Thom Tillis (R) ,R,Comms,38500
969, Mitch McConnell (R) ,R,Comms,35000
970, John Boozman (R) ,R,Comms,18000
971, John Cornyn (R) ,R,Comms,51000
972, Richard C Shelby (R) ,R,Comms,0
973, Richard Burr (R) ,R,Comms,-3000
974, James E Risch (R) ,R,Comms,11000
975, Mike Enzi (R) ,R,Comms,7000
976, Mike Lee (R) ,R,Comms,24000
977, Rand Paul (R) ,R,Comms,13000
978, Jeff Flake (R) ,R,Comms,66750
979, Ted Cruz (R) ,R,Comms,92000
980, Bill Nelson (D) ,D,Defense,98500
981, Chris Coons (D) ,D,Defense,2000
982, Claire McCaskill (D) ,D,Defense,54000
983, Jack Reed (D) ,D,Defense,47000
984, Sheldon Whitehouse (D) ,D,Defense,12500
985, Maggie Hassan (D) ,D,Defense,4000
986, Michael F Bennet (D) ,D,Defense,6000
987, Maria Cantwell (D) ,D,Defense,1000
988, Mazie K Hirono (D) ,D,Defense,53500
989, Patrick Leahy (D) ,D,Defense,7000
990, Tom Udall (D) ,D,Defense,0
991, Richard Blumenthal (D) ,D,Defense,4500
992, Charles E Schumer (D) ,D,Defense,0
993, Robert Menendez (D) ,D,Defense,22000
994, Jeff Merkley (D) ,D,Defense,0
995, Kamala D Harris (D) ,D,Defense,0
996, Christopher S Murphy (D) ,D,Defense,51000
997, Chris Van Hollen (D) ,D,Defense,1000
998, Heidi Heitkamp (D) ,D,Defense,34000
999, Tina Smith (D) ,D,Defense,13500
1000, Dianne Feinstein (D) ,D,Defense,57500
1001, Kirsten Gillibrand (D) ,D,Defense,21500
1002, Sherrod Brown (D) ,D,Defense,28390
1003, Doug Jones (D) ,D,Defense,9500
1004, Cory Booker (D) ,D,Defense,0
1005, Joe Donnelly (D) ,D,Defense,92000
1006, Elizabeth Warren (D) ,D,Defense,1280
1007, Joe Manchin (D) ,D,Defense,99000
1008, Gary Peters (D) ,D,Defense,14000
1009, Debbie Stabenow (D) ,D,Defense,33000
1010, Jon Tester (D) ,D,Defense,436822
1011, Patty Murray (D) ,D,Defense,0
1012, Amy Klobuchar (D) ,D,Defense,2000
1013, Mark Warner (D) ,D,Defense,33000
1014, Ed Markey (D) ,D,Defense,0
1015, Dick Durbin (D) ,D,Defense,21000
1016, Bob Casey (D) ,D,Defense,47500
1017, Ron Wyden (D) ,D,Defense,1000
1018, Ben Cardin (D) ,D,Defense,66950
1019, Tammy Duckworth (D) ,D,Defense,6000
1020, Tom Carper (D) ,D,Defense,22000
1021, Catherine Cortez Masto (D) ,D,Defense,0
1022, Jeanne Shaheen (D) ,D,Defense,71500
1023, Martin Heinrich (D) ,D,Defense,118000
1024, Tim Kaine (D) ,D,Defense,145188
1025, Tammy Baldwin (D) ,D,Defense,30500
1026, Brian Schatz (D) ,D,Defense,22500
1027, Bernie Sanders (I) ,I,Defense,0
1028, Angus King (I) ,I,Defense,84000
1029, Pat Roberts (R) ,R,Defense,0
1030, Johnny Isakson (R) ,R,Defense,10000
1031, Shelley Moore Capito (R) ,R,Defense,18500
1032, John Kennedy (R) ,R,Defense,6500
1033, Lisa Murkowski (R) ,R,Defense,18000
1034, Cindy Hyde-Smith (R) ,R,Defense,31500
1035, Susan Collins (R) ,R,Defense,16000
1036, Roger Wicker (R) ,R,Defense,116625
1037, Deb Fischer (R) ,R,Defense,67000
1038, Dean Heller (R) ,R,Defense,10500
1039, John A Barrasso (R) ,R,Defense,47000
1040, Mike Crapo (R) ,R,Defense,7000
1041, David Perdue (R) ,R,Defense,32900
1042, Orrin G Hatch (R) ,R,Defense,19625
1043, John Thune (R) ,R,Defense,4000
1044, James Lankford (R) ,R,Defense,11000
1045, Jerry Moran (R) ,R,Defense,20500
1046, Joni Ernst (R) ,R,Defense,24000
1047, Dan Sullivan (R) ,R,Defense,47000
1048, Steven Daines (R) ,R,Defense,22000
1049, Mike Rounds (R) ,R,Defense,11500
1050, Lamar Alexander (R) ,R,Defense,8000
1051, Tom Cotton (R) ,R,Defense,15500
1052, Marco Rubio (R) ,R,Defense,35500
1053, James M Inhofe (R) ,R,Defense,60500
1054, Lindsey Graham (R) ,R,Defense,44000
1055, Ron Johnson (R) ,R,Defense,3000
1056, Bob Corker (R) ,R,Defense,32125
1057, Todd Young (R) ,R,Defense,1000
1058, Ben Sasse (R) ,R,Defense,10500
1059, Cory Gardner (R) ,R,Defense,4000
1060, John Hoeven (R) ,R,Defense,15000
1061, Chuck Grassley (R) ,R,Defense,0
1062, Rob Portman (R) ,R,Defense,11500
1063, Tim Scott (R) ,R,Defense,19500
1064, Bill Cassidy (R) ,R,Defense,4500
1065, Pat Toomey (R) ,R,Defense,9500
1066, Thom Tillis (R) ,R,Defense,25500
1067, Mitch McConnell (R) ,R,Defense,38000
1068, John Boozman (R) ,R,Defense,16500
1069, John Cornyn (R) ,R,Defense,10000
1070, Richard C Shelby (R) ,R,Defense,5000
1071, Richard Burr (R) ,R,Defense,4000
1072, James E Risch (R) ,R,Defense,0
1073, Mike Enzi (R) ,R,Defense,5000
1074, Mike Lee (R) ,R,Defense,1000
1075, Rand Paul (R) ,R,Defense,0
1076, Jeff Flake (R) ,R,Defense,19000
1077, Ted Cruz (R) ,R,Defense,35000
1078, Bill Nelson (D) ,D,Energy,48675
1079, Chris Coons (D) ,D,Energy,2500
1080, Claire McCaskill (D) ,D,Energy,72500
1081, Jack Reed (D) ,D,Energy,5000
1082, Sheldon Whitehouse (D) ,D,Energy,57751
1083, Maggie Hassan (D) ,D,Energy,500
1084, Michael F Bennet (D) ,D,Energy,7500
1085, Maria Cantwell (D) ,D,Energy,-990
1086, Mazie K Hirono (D) ,D,Energy,39209
1087, Patrick Leahy (D) ,D,Energy,5000
1088, Tom Udall (D) ,D,Energy,8500
1089, Richard Blumenthal (D) ,D,Energy,500
1090, Charles E Schumer (D) ,D,Energy,-1000
1091, Robert Menendez (D) ,D,Energy,34895
1092, Jeff Merkley (D) ,D,Energy,9500
1093, Kamala D Harris (D) ,D,Energy,5000
1094, Christopher S Murphy (D) ,D,Energy,49110
1095, Chris Van Hollen (D) ,D,Energy,0
1096, Heidi Heitkamp (D) ,D,Energy,250050
1097, Tina Smith (D) ,D,Energy,44531
1098, Dianne Feinstein (D) ,D,Energy,48400
1099, Kirsten Gillibrand (D) ,D,Energy,21510
1100, Sherrod Brown (D) ,D,Energy,84953
1101, Doug Jones (D) ,D,Energy,27999
1102, Cory Booker (D) ,D,Energy,6500
1103, Joe Donnelly (D) ,D,Energy,120750
1104, Elizabeth Warren (D) ,D,Energy,6031
1105, Joe Manchin (D) ,D,Energy,525158
1106, Gary Peters (D) ,D,Energy,11000
1107, Debbie Stabenow (D) ,D,Energy,146543
1108, Jon Tester (D) ,D,Energy,51532
1109, Patty Murray (D) ,D,Energy,9900
1110, Amy Klobuchar (D) ,D,Energy,55250
1111, Mark Warner (D) ,D,Energy,41500
1112, Ed Markey (D) ,D,Energy,10000
1113, Dick Durbin (D) ,D,Energy,2750
1114, Bob Casey (D) ,D,Energy,76651
1115, Ron Wyden (D) ,D,Energy,16500
1116, Ben Cardin (D) ,D,Energy,46793
1117, Tammy Duckworth (D) ,D,Energy,8000
1118, Tom Carper (D) ,D,Energy,130000
1119, Catherine Cortez Masto (D) ,D,Energy,10500
1120, Jeanne Shaheen (D) ,D,Energy,13750
1121, Martin Heinrich (D) ,D,Energy,152630
1122, Tim Kaine (D) ,D,Energy,87419
1123, Tammy Baldwin (D) ,D,Energy,66467
1124, Brian Schatz (D) ,D,Energy,13000
1125, Bernie Sanders (I) ,I,Energy,10
1126, Angus King (I) ,I,Energy,70033
1127, Pat Roberts (R) ,R,Energy,20000
1128, Johnny Isakson (R) ,R,Energy,500
1129, Shelley Moore Capito (R) ,R,Energy,20000
1130, John Kennedy (R) ,R,Energy,36500
1131, Lisa Murkowski (R) ,R,Energy,130450
1132, Cindy Hyde-Smith (R) ,R,Energy,70000
1133, Susan Collins (R) ,R,Energy,5500
1134, Roger Wicker (R) ,R,Energy,174200
1135, Deb Fischer (R) ,R,Energy,138500
1136, Dean Heller (R) ,R,Energy,384837
1137, John A Barrasso (R) ,R,Energy,450400
1138, Mike Crapo (R) ,R,Energy,23500
1139, David Perdue (R) ,R,Energy,17500
1140, Orrin G Hatch (R) ,R,Energy,139500
1141, John Thune (R) ,R,Energy,50200
1142, James Lankford (R) ,R,Energy,38000
1143, Jerry Moran (R) ,R,Energy,11500
1144, Joni Ernst (R) ,R,Energy,34500
1145, Dan Sullivan (R) ,R,Energy,45900
1146, Steven Daines (R) ,R,Energy,32000
1147, Mike Rounds (R) ,R,Energy,19500
1148, Lamar Alexander (R) ,R,Energy,5000
1149, Tom Cotton (R) ,R,Energy,14500
1150, Marco Rubio (R) ,R,Energy,28500
1151, James M Inhofe (R) ,R,Energy,64189
1152, Lindsey Graham (R) ,R,Energy,28000
1153, Ron Johnson (R) ,R,Energy,8500
1154, Bob Corker (R) ,R,Energy,39500
1155, Todd Young (R) ,R,Energy,11000
1156, Ben Sasse (R) ,R,Energy,15000
1157, Cory Gardner (R) ,R,Energy,79000
1158, John Hoeven (R) ,R,Energy,29750
1159, Chuck Grassley (R) ,R,Energy,27000
1160, Rob Portman (R) ,R,Energy,63500
1161, Tim Scott (R) ,R,Energy,49200
1162, Bill Cassidy (R) ,R,Energy,60500
1163, Pat Toomey (R) ,R,Energy,44500
1164, Thom Tillis (R) ,R,Energy,33500
1165, Mitch McConnell (R) ,R,Energy,38500
1166, John Boozman (R) ,R,Energy,0
1167, John Cornyn (R) ,R,Energy,69900
1168, Richard C Shelby (R) ,R,Energy,0
1169, Richard Burr (R) ,R,Energy,-500
1170, James E Risch (R) ,R,Energy,-1000
1171, Mike Enzi (R) ,R,Energy,5000
1172, Mike Lee (R) ,R,Energy,3000
1173, Rand Paul (R) ,R,Energy,3500
1174, Jeff Flake (R) ,R,Energy,155550
1175, Ted Cruz (R) ,R,Energy,91500
1176, Bill Nelson (D) ,D,General,487900
1177, Chris Coons (D) ,D,General,7000
1178, Claire McCaskill (D) ,D,General,103500
